ff_id,ff_rank,ff_scientific,eol_scientific,eol_id,wiki_title,wiki_url,ff_name,eol_names,wiki_names,human_names,translated_name
509,8,Albizia julibrissin,Albizia julibrissin Durazz.,640054,,,Persian silk tree,Albízia-de-Constantinopla,,,Árvore-da-seda
1367,8,Albizia saman,,,Árvore da chuva,https://pt.wikipedia.org/wiki/%C3%81rvore_da_chuva,Saman silk tree,,"Árvore da chuva, chorona",,Árvore da chuva
157,,Alliaria petiolata,,,Erva-alheira,https://pt.wikipedia.org/wiki/Erva-alheira,Garlic mustard,,erva-alheira,erva-alheira,Erva-alheira
639,8,Allium ampeloprasum,Allium ampeloprasum L.,8790855,,https://pt.wikipedia.org/wiki/Alho-porro-bravo,Leek,"Alho-bravo, Alho-ordinário",,alho-porro-bravo,Alho-porro-bravo
202,8,Allium sativum,Allium sativum L.,1084926,Alho,https://pt.wikipedia.org/wiki/Alho,Garlic,Alho,alho,alho,Alho
585,8,Allium schoenoprasum,Allium schoenoprasum L.,1084938,Allium schoenoprasum,https://pt.wikipedia.org/wiki/Allium_schoenoprasum,Chives,Cebolinha,"Allium schoenoprasum, cebolinha, cebolinha-francesa, cebolinho","cebolinha, cebolinha-francesa",Cebolinha-francesa
707,8,Allium tuberosum,,,Allium tuberosum,https://pt.wikipedia.org/wiki/Allium_tuberosum,Garlic chives,,Cebolinho chinês,Cebolinho chinês,Cebolinho chinês
542,8,Allium ursinum,Allium ursinum L.,1085089,Allium ursinum,https://pt.wikipedia.org/wiki/Allium_ursinum,Wild garlic,"Alho-porró, Alho-de-urso","Alho dos ursos, alho-dos-ursos, alho selvagem","alho-dos-ursos, alho selvagem",Alho dos ursos
772,,Aloe,,,,https://pt.wikipedia.org/wiki/Aloe,Aloe,,,Aloe,Aloe
709,8,Aloe vera,Aloe vera (L.) Burm. f.,1085598,Babosa,https://pt.wikipedia.org/wiki/Babosa,Aloe vera,"Aloe maculata, Babosa, aloés de Barbados, azebre vegetal",,babosa,Babosa
459,,Aloysia citrodora,,,Lúcia-lima,https://pt.wikipedia.org/wiki/L%C3%BAcia-lima,Lemon verbena,,"Lúcia-lima, bela-luísa, limonete","lúcia-lima, verbena-cidrada, bela-luísa, erva-cidreira",Lúcia-lima
1520,6,Amaranthus,,,Amaranto,https://pt.wikipedia.org/wiki/Amaranto,Amaranth,,Amaranto,,Amaranto
115,6,Amelanchier,,,Amelanchier,https://pt.wikipedia.org/wiki/Amelanchier,Serviceberry,,Amelanqueiro,,Amelanqueiro
868,8,Anacardium occidentale,Anacardium occidentale L.,582263,Cajueiro,https://pt.wikipedia.org/wiki/Cajueiro,Cashew,"cajueiro, caju da praia, cajuaçú, cajueiro is the plant, cajú",cajueiro,,Cajueiro
699,,Ananas comosus,Ananas comosus (L.) Merr.,1126520,Ananás,https://pt.wikipedia.org/wiki/Anan%C3%A1s,Pineapple,"abacaxi, ananás","Ananás, abacaxi","Abacaxi, ananás",Abacaxi
429,,Anethum graveolens,Anethum graveolens L.,584995,Endro,https://pt.wikipedia.org/wiki/Endro,Dill,"Endro, Aneto","endro, aneto, dill","endro, aneto",Endro
1581,1,Animalia,Animalia,1,Animalia,https://pt.wikipedia.org/wiki/Animalia,Animal,"Animais, Agnotozoa, Animal","Animalia, Animal, Metazoa, animais",,Animais
561,,Annona cherimola,Annona cherimola Mill.,1054913,,https://pt.wikipedia.org/wiki/Cherimoia,Cherimoya,"anona do Chile, cabeça de negro, chirimólia, fruta do conde",,"cherimólia, cherimoia",Cherimólia
464,,Annona muricata,Annona muricata L.,1054863,,https://pt.wikipedia.org/wiki/Graviola,Soursop,"Anona, Graviola, coração de rainha, curassol, pinha azeda",,graviola,Graviola
742,,Aquilegia,,,,,Columbine,,,"aquilégia, colombina",Colombina
576,,Araucaria,,,,https://pt.wikipedia.org/wiki/Araucaria,,,,"araucária, pinheiro",Araucária
200,,Araucaria araucana,,,,https://pt.wikipedia.org/wiki/Araucaria_araucana,Monkey puzzle,,,"araucária chilena, péhuen",Araucária chilena
468,8,Araucaria bidwillii,,,Araucaria bidwillii,https://pt.wikipedia.org/wiki/Araucaria_bidwillii,Bunya pine,,Araucaria bidwillii,pinheiro Bunia,Pinheiro bunia
299,8,Araucaria heterophylla,Araucaria heterophylla (Salisb.) Franco,1033727,Pinheiro-de-norfolk,https://pt.wikipedia.org/wiki/Pinheiro-de-norfolk,Norfolk island pine,araucária-de-norfolk,"pinheiro-de-norfolk, araucária-de-norfolk","pinheiro-de-norfolk, araucária-de-norfolk",Pinheiro-de-norfolk
60,8,Arbutus unedo,Arbutus unedo L.,583608,Medronheiro,https://pt.wikipedia.org/wiki/Medronheiro,Strawberry tree,Medronheiro,"medronheiro, medronho","medronheiro, meródios, ervedeiro, êrvedo ou êrvodo",Medronheiro
264,5,Arecaceae,,,Palmeira,https://pt.wikipedia.org/wiki/Palmeira,Palm tree,,"Palmeira, Arecaceae, Palmae, Palmaceae",,Palmeira
527,,Armoracia rusticana,"Armoracia rusticana P. Gaertn., B. Mey. & Scherb.",583956,Raiz-forte,https://pt.wikipedia.org/wiki/Raiz-forte,Horseradish,"Raiz-forte, Rabanete, Rábanao","Armoracia, raiz-forte, rábano-bastardo, rábano-de-cavalo, rábano-picante, rábano-rústico, rábano-silvestre, rábano-silvestre-maior, rabão-silvestre, rabão-rústico, rabiça-brava, rabo-de-cavalo, saramago-maior",,Raiz-forte
467,,Artocarpus heterophyllus,Artocarpus heterophyllus Lam.,596411,Artocarpus heterophyllus,https://pt.wikipedia.org/wiki/Artocarpus_heterophyllus,Jackfruit,jaqueira,"jaqueira, jaca",jaqueira,Jaqueira
116,,Asimina triloba,Asimina triloba (L.) Dunal,1054816,,,Pawpaw,Asimina,,,Pawpaw
1336,6,Asparagus,,,Asparagus,https://pt.wikipedia.org/wiki/Asparagus,Asparagus,,Asparagus,aspargo,Aspargo
156,8,Asparagus officinalis ,Asparagus officinalis L.,988015,Asparagus officinalis,https://pt.wikipedia.org/wiki/Asparagus_officinalis,Garden asparagus,"corruda, espargo","aspargo, espargo",,Aspargo
724,,Atriplex prostrata,Atriplex prostrata Boucher ex DC.,596237,,https://pt.wikipedia.org/wiki/Atriplex_prostrata,Triangle orache,Armoles-bravos,,,Armoles-bravos
419,,Averrhoa carambola,,,Carambola,https://pt.wikipedia.org/wiki/Carambola,Starfruit,,"carambola, caramboleira",caramboleira,Caramboleira
455,,Azadirachta indica,,,,https://pt.wikipedia.org/wiki/Azadirachta_indica,Neem,,,"nim, neem, amargosa",Nim
1366,8,Bactris gasipaes,Bactris gasipaes Kunth,1130861,Pupunha,https://pt.wikipedia.org/wiki/Pupunha,Peach-palm,"cachipae, pupuhna","pupunha, pupunheira, pupunha-verde-amarela",,Pupunheira
1379,8,Bambusa vulgaris,,,Bambu-listrado,https://pt.wikipedia.org/wiki/Bambu-listrado,Buddha’s belly bamboo,,bambu-listrado,,Bambu-listrado
894,8,Barbarea vulgaris,,,Barbarea vulgaris,https://pt.wikipedia.org/wiki/Barbarea_vulgaris,Yellow rocketcress,,"Barbarea vulgaris, Barbarea arcuata, Barbarea stricta, Sisymbrium barbarea, Campe barbarea, Crucifera arcuata, Crucifera barbarea, Crucifera stricta, Campe stricta, agrião-da-terra, erva-de-são-julião, erva-dos-carpinteiros, erva-de-santa-bárbara",,Agrião-da-terra
758,,Basella alba,,,,https://pt.wikipedia.org/wiki/Basella_alba,Malabar spinach ,,,"Bertalha, Espinafre Indiano",Bertalha
1116,8,Bauhinia blakeana,,,Bauínia-blaqueana,https://pt.wikipedia.org/wiki/Bau%C3%ADnia-blaqueana,Hong kong orchid tree,,"Bauínia blaqueana, unha-de-vaca",,Unha-de-vaca
1165,8,Bauhinia forficata,,,Pata-de-vaca,https://pt.wikipedia.org/wiki/Pata-de-vaca,Brazilian orchid tree,,"pata-de-vaca, mororó, pé-de-boi",,Pata-de-vaca
511,,Beta vulgaris,Beta vulgaris L.,585884,,https://pt.wikipedia.org/wiki/Beterraba-sacarina,Beet,"Beterraba-sacarina, Acelga-brava, acelga",,,Beterraba-sacarina
689,,Beta vulgaris subsp. cicla,,,Acelga,https://pt.wikipedia.org/wiki/Acelga,Chard,,"acelga, beterraba branca",,Beterraba-branca
608,,Beta vulgaris subsp. maritima,Beta vulgaris L.,585884,,,Sea beet,"Beterraba-sacarina, Acelga-brava, acelga",,,
524,6,Betula,,,Bétula,https://pt.wikipedia.org/wiki/B%C3%A9tula,Birch,,Bétula,Bétula,Bétula
814,8,Betula pendula,,,Vidoeiro-branco,https://pt.wikipedia.org/wiki/Vidoeiro-branco,Silver birch,,"vidoeiro-branco, bétula-branca, vidoeiro-prateado","vidoeiro-branco, bétula-branca, vidoeiro-prateado",Bétula-branca
783,,Boletus,,,,https://pt.wikipedia.org/wiki/Boleto,Bolete,,,Boleto,Boleto
207,,Borago officinalis,Borago officinalis,580765,Borragem,https://pt.wikipedia.org/wiki/Borragem,Borage,Borragem,Borragem,"borrage, borracha, borracha-chimarrona, foligem",Borragem
810,,Borassus,,,,https://pt.wikipedia.org/wiki/Borassus,Palmyra palm,,,"palmeiras-de-palmira, palmeiras-de-leque",Palmeira-de-palmira
1377,8,Borassus flabellifer,Borassus flabellifer L.,1123573,,,Asian palmyra palm,"palmeira macha brava, panuguera",,,Palmeira macha brava
389,,Brachychiton acerifolius,,,,https://pt.wikipedia.org/wiki/Brachychiton_acerifolius,Illawarra flame tree,,,árvore-de-fogo-de-Illawarra,Árvore-de-fogo-de-Illawarra
271,,Brachychiton populneus ,,,,https://pt.wikipedia.org/wiki/Brachychiton_populneus,Kurrajong,,,"perna-de-moça, branquiquito, kurrajong",Perna-de-moça
615,8,Brassica nigra,Brassica nigra (L.) W. D. J. Koch,583895,Mostarda-preta,https://pt.wikipedia.org/wiki/Mostarda-preta,Black mustard,"Mostarda (preta), mostarda preta",mostarda-preta,mostarda-preta,Mostarda-preta
50,,Brassica oleracea var. acephala,,,Couve-de-folhas,https://pt.wikipedia.org/wiki/Couve-de-folhas,Kale,,"couve-de-folhas, Acephala",,Couve-de-folhas
729,,Brassica oleracea var. gemmifera,,,Couve-de-bruxelas,https://pt.wikipedia.org/wiki/Couve-de-bruxelas,Brussels sprout,,Couve-de-bruxelas,,Couve-de-bruxelas
721,,Brassica oleracea var. italica,,,Brócolis,https://pt.wikipedia.org/wiki/Br%C3%B3colis,Broccoli,,"brócolis, brócolos",,Brócolis
560,,Butia,,,Butiá,https://pt.wikipedia.org/wiki/Buti%C3%A1,Butia palm,,butiá,butiá,Butiá
303,,Butia capitata ,,,,https://pt.wikipedia.org/wiki/Butia_capitata,Jelly palm,,,"cabeçudo, coqueiro-cabeçudo",Cabeçudo
867,8,Byrsonima crassifolia,Byrsonima crassifolia (L.) Kunth,592366,Byrsonima crassifolia,https://pt.wikipedia.org/wiki/Byrsonima_crassifolia,Muruci,"Byrsonima crassifolia, cangica, murici, muruci da praia crabo, muruci do campo","murici, muruci, murici-da-praia, murici-do-brejo",,Murici
981,8,Caesalpinia pulcherrima,,,Caesalpinia pulcherrima,https://pt.wikipedia.org/wiki/Caesalpinia_pulcherrima,Red bird of paradise,,"Flamboyanzinho, flor-de-pavão, flamboyant-mirim, barba-de-barata, asa-de-barata",,Flamboyanzinho
1150,8,Caesalpinia spinosa,,,Caesalpinia tinctoria,https://pt.wikipedia.org/wiki/Caesalpinia_tinctoria,Tara,,falso pau-brasil,,Falso pau-brasil
474,,Cajanus cajan,Cajanus cajan (L.) Millsp.,643268,Guandu,https://pt.wikipedia.org/wiki/Guandu,Pigeon pea,"ervilha de Angola, ervilha do Congo, feijão guandú","guandu, andu, ervilha-de-pombo, anduzeiro, guandeiro, guando, feijão-guandu",,Guandu
488,,Calendula,,,,https://pt.wikipedia.org/wiki/Calendula,Calendula,,,calêndula,Calêndula
1113,8,Callistemon viminalis,,,Calistemo,https://pt.wikipedia.org/wiki/Calistemo,Weeping bottlebrush,,"Calistemo, Escova-de-garrafa, lava-garrafas, bottlebrush",,Calistemo
371,,Camellia,,,Camélia,https://pt.wikipedia.org/wiki/Cam%C3%A9lia,Camellia,,"camélia, japoneira",camélia,Camélia
304,,Camellia japonica,,,,https://pt.wikipedia.org/wiki/Camellia_japonica,Japanese camellia,,,camélia,
452,,Cannabis,,,,https://pt.wikipedia.org/wiki/Cannabis,Cannabis,,,"cânhamo, cânabis",Cânhamo
541,,Capsella bursa-pastoris,,,Bolsa-de-pastor,https://pt.wikipedia.org/wiki/Bolsa-de-pastor,Shepherd's purse,,Bolsa-de-pastor,Bolsa-de-pastor,Bolsa-de-pastor
102,,Capsicum annuum,Capsicum annuum L.,581098,Pimentão,https://pt.wikipedia.org/wiki/Piment%C3%A3o,Bell pepper,"Pimentão doce, Colorau","Pimentão, Pimento",,Pimentão doce
222,,Carica papaya,Carica papaya L.,585682,Mamão,https://pt.wikipedia.org/wiki/Mam%C3%A3o,Papaya,"mamao, mamão","Mamão, papaia, ababaia, mamoeiro, papaeira","mamoeiro, papaeira",Mamoeiro
927,8,Carissa bispinosa,Carissa bispinosa,6850668,,,Forest num-num,chocuan,,,Chocuan
778,,Carpobrotus edulis,,,Chorão-das-praias,https://pt.wikipedia.org/wiki/Chor%C3%A3o-das-praias,Highway ice plant,,chorão-das-praias,chorão-das-praias,Chorão-das-praias
93,,Carya illinoinensis,,,Nogueira-pecã,https://pt.wikipedia.org/wiki/Nogueira-pec%C3%A3,Pecan,,Nogueira-pecã,,Nogueira-pecã
1158,8,Caryota urens,Caryota urens L.,1090472,,,Solitary fishtail palm,palmeira jaggeri,,,Palmeira jaggeri
70,,Castanea,,,,https://pt.wikipedia.org/wiki/Castanea,Chestnut,,,"Castanheiro, castanheira",Castanheiro
363,,Castanea sativa,,,Castanea sativa,https://pt.wikipedia.org/wiki/Castanea_sativa,Sweet chestnut,,"Castanheiro, castanheira, castanheiro-bravo, castanheira-portuguesa, castinheiro, castiro","castanheiro-bravo, castanheira-portuguesa",Castanheiro-bravo
865,8,Ceiba speciosa,,,Paineira,https://pt.wikipedia.org/wiki/Paineira,Silk floss tree,,paineira,,Paineira
305,,Celtis australis,,,Celtis australis,https://pt.wikipedia.org/wiki/Celtis_australis,Mediterranean hackberry,,"lódão-bastardo, ginginha-do-rei, agreira, lodoeiro, lódão, nicreiro","lódão-bastardo, ginginha-do-rei, agreira, lodoeiro, lódão, nicreiro",Lódão-bastardo
897,,Centaurea cyanus,,,Centaurea cyanus,https://pt.wikipedia.org/wiki/Centaurea_cyanus,Cornflower,,"escovinha, marianinha, centáurea",,Escovinha
275,,Ceratonia siliqua,,,Alfarrobeira,https://pt.wikipedia.org/wiki/Alfarrobeira,Carob,,"alfarrobeira, Pão-de-João, Pão-de-São-João, figueira-de-pitágoras, figueira-do-egipto, alfarroba","alfarrobeira, figueira-de-pitágoras,  figueira-do-egipto",Alfarrobeira
364,,Cercis siliquastrum,Cercis siliquastrum L.,703834,Olaia,https://pt.wikipedia.org/wiki/Olaia,Judas tree,"Árvore-de-Judas, olaia","olaia, árvore-de-judas, pata-de-vaca","olaia, árvore-de-judas, pata-de-vaca",Olaia
444,,Chrysobalanus icaco,,,Guajuru,https://pt.wikipedia.org/wiki/Guajuru,Cocoplum,,Guajuru,"Guajuru,  ajuru, apioba",Guajuru
221,,Chrysophyllum cainito,Chrysophyllum cainito L.,1148152,Caimito (planta),https://pt.wikipedia.org/wiki/Caimito_(planta),Star apple,Cainito,"caimito, abio, abio-do-pará, aguaí","caimito, abio, abio-do-pará, aguaí",Caimito
515,,Cichorium,,,Endívia,https://pt.wikipedia.org/wiki/End%C3%ADvia,Endive,,Endívia,,Endívia
697,,Cichorium intybus,,,Cichorium intybus,https://pt.wikipedia.org/wiki/Cichorium_intybus,Common chicory,,chicória,Chicória,Chicória
1019,8,Cinnamomum camphora,Cinnamomum camphora (L.) J. Presl,596902,Cânfora,https://pt.wikipedia.org/wiki/C%C3%A2nfora,Camphor tree,"Cânfora, Arvore da camphora",canforeiro,,Canforeiro
1372,8,Cinnamomum verum,Cinnamomum verum J. Presl,490672,,,Ceylon cinnamon,"canela, canelleira da India",,,Canelleira da India
77,,Citrofortunella microcarpa,Fortunella japonica (Thunb.) Swingle,483556,,,Calamondin,limoeiro do Japão,,,
573,,Citrofortunella mitis,Fortunella japonica (Thunb.) Swingle,483556,,,Musk lime,limoeiro do Japão,,,
720,,Citrullus lanatus,Citrullus lanatus (Thunb.) Matsum. & Nakai,584423,Melancia,https://pt.wikipedia.org/wiki/Melancia,Watermelon,Melancia,Melancia,Melancia,Melancia
26,,Citrus,,,Lima (fruto),https://pt.wikipedia.org/wiki/Lima_(fruto),Lime,,"lima, limão, limeira",,Limeira
263,,Citrus,,,,https://pt.wikipedia.org/wiki/Citrus,Citrus,,,citrinos,Citrino
831,,Citrus hystrix,,,Combava,https://pt.wikipedia.org/wiki/Combava,Kaffir lime,,Combava,,Combava
19,,Citrus japonica,Fortunella japonica (Thunb.) Swingle,483556,Fortunella,https://pt.wikipedia.org/wiki/Fortunella,Kumquat,limoeiro do Japão,"kinkan, Kumquat",,Limoeiro do Japão
4,,Citrus limon,Citrus X limon (L.) Burm. f. (pro. sp.),582200,Limão,https://pt.wikipedia.org/wiki/Lim%C3%A3o,Lemon,"Limão, limoeiro azedo","limão-siciliano, limão","limão, limão-siciliano, limão-verdadeiro",Limão-siciliano
11,,Citrus maxima,Citrus maxima (Burm. f.) Merr.,488254,Pomelo,https://pt.wikipedia.org/wiki/Pomelo,Pomelo,jamboa,"cimboa, pomelo, laranja-natal, toranja","cimboa, pomelo, laranja-natal",Cimboa
5,,Citrus paradisi,,,Toranja,https://pt.wikipedia.org/wiki/Toranja,Grapefruit,,"toranja, toronja",toranja,Toranja
23,,Citrus reticulata,,,Tangerina,https://pt.wikipedia.org/wiki/Tangerina,Mandarin,,"tangerina, laranja-mimosa, mandarina, fuxiqueira, poncã, laranja-cravo, mimosa, vergamota, clementina, bergamota, mexerica","tangerina, laranja-mimosa, mandarina, fuxiqueira, poncã, laranja-cravo, mimosa, vergamota, clementina, bergamota, mexerica ",Tangerina
308,,Citrus x aurantifolia,Citrus aurantiifolia (Christm.) Swingle (pro. sp.),595293,Lima comum,https://pt.wikipedia.org/wiki/Lima_comum,Key lime,"Limão gelego, Lima âcida, limeira",lima comum,,Limão gelego
81,8,Citrus x aurantium,,,Laranja-azeda,https://pt.wikipedia.org/wiki/Laranja-azeda,Bitter orange,,"laranja-azeda, laranja-amarga","laranja-azeda, laranja-amarga",Laranja-azeda
551,,Citrus x limonia,Citrus limonia Osbeck (pro sp.),488255,,,Mandarin-lime,Limão,,,Limão
3,,Citrus x sinensis,Citrus sinensis (L.) Osbeck (pro. sp.),582206,Citrus × sinensis,https://pt.wikipedia.org/wiki/Citrus_%C3%97_sinensis,Orange,"Laranja doce, Laranja, laranjeira doce","laranja, laranjeira, Rutaceae",laranjeira,Laranjeira doce
460,,Cocos nucifera,Cocos nucifera L.,1091712,Coqueiro,https://pt.wikipedia.org/wiki/Coqueiro,Coconut palm,"Coqueiro, coqueiro da Bahia",coqueiro,coqueiro,Coqueiro
793,,Coprinus comatus,Coprinus comatus (O.F. Müll.) Pers. 1797,1030658,,,Shaggy mane,Coprino-barbudo,,,Coprino-barbudo
309,,Cordyline australis,Cordyline australis (G. Forst.) Endl.,1087084,,,Cabbage tree,Cordilínio,,,Cordilínio
898,8,Coriander sativum,,,Coentro,https://pt.wikipedia.org/wiki/Coentro,Coriander,,Coentro,,Coentro
248,,Cornus mas,,,Cornus mas,https://pt.wikipedia.org/wiki/Cornus_mas,Cornelian cherry dogwood,,corniso,corniso,Corniso
294,,Corylus avellana,,,Avelã,https://pt.wikipedia.org/wiki/Avel%C3%A3,Common hazel,,"avelã, aveleira, avelaneira, avelãzeira","aveleira, avelaneira, avelãzeira",Aveleira
172,,Crataegus,,,,https://pt.wikipedia.org/wiki/Crataegus,Hawthorn,,,Espinheiro Branco,
346,,Crataegus laevigata,,,,https://pt.wikipedia.org/wiki/Crataegus_laevigata,Midland hawthorn,,,"corníolo, cratego-pirliteiro, escalheiro, escambrulheiro, escrambulheiro, espinha-branca, espinheiro-alvar, estrepeiro, pilriteira, pilrito, pirliteiro, carrapiteiro",Corníolo
399,,Crataegus monogyna,Crataegus monogyna Jacq.,628306,Crataegus monogyna,https://pt.wikipedia.org/wiki/Crataegus_monogyna,Common hawthorn,Pilriteiro,pilriteiro,pilreteiro,Pilriteiro
587,,Crithmum maritimum,Crithmum maritimum L.,2867559,,https://pt.wikipedia.org/wiki/Crithmum_maritimum,Rock samphire,Funcho-do-mar,perrexil-do-mar,perrexil-do-mar,Perrexil-do-mar
900,8,Cucumis melo,Cucumis melo L.,584424,Melão,https://pt.wikipedia.org/wiki/Mel%C3%A3o,Muskmelon,Melão,Melão,,Melão
1487,8,Cucumis sativus,,,Pepino,https://pt.wikipedia.org/wiki/Pepino,Cucumber,,pepino,,Pepino
877,5,Cucurbitaceae,,,Cucurbitaceae,https://pt.wikipedia.org/wiki/Cucurbitaceae,Gourd,,Cucurbitaceae,,
69,,Cydonia oblonga,Cydonia oblonga Mill.,245489,Marmeleiro,https://pt.wikipedia.org/wiki/Marmeleiro,Quince,"Marmelo, Marmeleiro","marmeleiro, marmelos","marmeleiro, marmeleiro-da-europa, pereira-do-japão",Marmeleiro
765,,Cymbopogon martinii,,,Cymbopogon martinii,https://pt.wikipedia.org/wiki/Cymbopogon_martinii,Palmarosa,,"palmarosa, gerânio da Índia","palmarosa, gerânio da Índia",Palmarosa
85,,Cynara cardunculus var. scolymus,,,Alcachofra,https://pt.wikipedia.org/wiki/Alcachofra,Globe artichoke,,alcachofra,,Alcachofra
526,,Daucus carota,,,,https://pt.wikipedia.org/wiki/Cenoura,Wild carrot,,,cenoura ,Cenoura
1486,9,Daucus carota subsp. sativus,,,Cenoura,https://pt.wikipedia.org/wiki/Cenoura,Carrot,,cenoura,,Cenoura
828,,Dimocarpus longan,Dimocarpus longan Lour.,590822,Longan,https://pt.wikipedia.org/wiki/Longan,Longan,pitomba longana,Longans,Longans,Longans
447,,Dioscorea,,,Inhame,https://pt.wikipedia.org/wiki/Inhame,Yam,,Inhame,,Inhame
462,,Diospyros digyna,,,,,Chocolate persimmon ,,,caqui-chocolate,Caqui-chocolate
280,,Diospyros kaki,,,,,Japanese persimmon,,,"caqui, caquizeiro",Caqui
246,,Diospyros virginiana,,,Caqui americano,https://pt.wikipedia.org/wiki/Caqui_americano,American persimmon,,"caqui, dióspiro americano",,Caqui-americano
773,,Dysphania ambrosioides,Dysphania ambrosioides (L.) Mosyakin & Clemants,587524,,https://pt.wikipedia.org/wiki/Dysphania_ambrosioides,Epazote,"Erva-formigueira, Erva-de-santa-maria, Formigueira, Mastruz, Mastruço, Mentruz","Erva-de-santa-maria, mentruz",Erva-de-santa-maria,Erva-de-santa-maria
201,,Echinacea,,,,https://pt.wikipedia.org/wiki/Echinacea,,,,equinácia,Equinácia
902,,Echium vulgare,,,Echium vulgare,https://pt.wikipedia.org/wiki/Echium_vulgare,Blue weed,,"viperina, erva-viperina",,Viperina
242,,Elaeagnus angustifolia,Elaeagnus angustifolia L.,582727,,https://pt.wikipedia.org/wiki/Elaeagnus_angustifolia,Russian-olive,árvore-do-paraíso,,,Árvore-do-paraíso
1368,8,Elaeis oleifera,Elaeis oleifera (Kunth) Cortés,1098598,,,African oil palm,"caiaué, coqueiro de dendê, dendê do pará",,,Caiaué
18,,Eriobotrya japonica,Eriobotrya japonica (Thunb.) Lindl.,628975,Nespereira (árvore),https://pt.wikipedia.org/wiki/Nespereira_(%C3%A1rvore),Loquat,"Nespereira, nespereiro do Japão","nespereira, nêspera, ameixa-amarela",nespereira,Nespereira
1554,8,Eruca sativa,Eruca vesicaria ssp. sativa (Mill.) Thell.,1278008,Rúcula,https://pt.wikipedia.org/wiki/R%C3%BAcula,Arugula,"Eruca, Rúcula","rúcula, mostarda-persa",,Rúcula
8,6,Eucalyptus,,,Eucalipto,https://pt.wikipedia.org/wiki/Eucalipto,Eucalyptus,,Eucalipto,Eucalipto,Eucalipto
1024,8,Eucalyptus camaldulensis,Eucalyptus camaldulensis Dehnh.,301398,,https://pt.wikipedia.org/wiki/Eucalyptus_camaldulensis,River red gum,Eucalipto-vermelho,,,Eucalipto-vermelho
1042,8,Eucalyptus cinerea,,,Eucalyptus cinerea,https://pt.wikipedia.org/wiki/Eucalyptus_cinerea,Argyle apple,,Eucalyptus cinerea,,Eucalipto-argentino
1031,8,Eucalyptus globulus,,,Eucalyptus globulus,https://pt.wikipedia.org/wiki/Eucalyptus_globulus,Tasmanian blue gum,,"eucalipto-comum, eucalipto-da-Tasmânia",,Eucalipto-da-Tasmânia
1114,6,Eugenia,,,Eugenia (género),https://pt.wikipedia.org/wiki/Eugenia_(g%C3%A9nero),Eugenia,,araçá,,Araçá
