Common,Scientific,Rating,Tag,Human,Bee,Notes,URL,URL2
Sydney golden wattle,Acacia sophorae,1,syn,1,,[syn] Acacia longifolia,,
Shoestring acacia,Acacia stenophylla ,2,,2,,Seeds edible?,,
Elegant wattle,Acacia victoriae,1,,1,,Also Gundabluie,http://tropical.theferns.info/viewtropical.php?id=Acacia+victoriae,
Aromita,Acacia aroma,3,,3,,,,
Guajillo,Acacia berlandieri,3,,3,,,,
Turpentine mulga,Acacia brachystachya,3,,3,,,,
White thorn acacia,Acacia constricta,3,,3,,,,
Wiry wattle,Acacia coriacea,1,,1,,,http://tropical.theferns.info/viewtropical.php?id=Acacia+coriacea,
Leather leaf acacia,Acacia craspedocarpa,3,,3,,,,
Bauhinia leaf acacia,Acacia crassifolia,3,,3,,,,
Giraffe thorn,Acacia erioloba,3,,3,,,,
Wadi acacia,Acacia gerrardii,3,,3,,,,
Coonavittra wattle,Acacia jennerae,3,,3,,,,
Karroo,Acacia karroo,3,,3,,,,
Manna wattle,Acacia microbotrya,3,,3,,,,
Fernleaf acacia,Acacia millefolia,3,,3,,,,
Viscid acacia,Acacia neovernicosa,3,,3,,,,
Sonoran catclaw,Acacia occidentalis,3,,3,,,,
Western myall,Acacia papyrocarpa,3,,3,,,,
Feather acacia,Acacia pennatula,3,,3,,,,
Black brush acacia,Acacia rigidula,3,,3,,,,
Coojong,Acacia saligna,2,,2,,,,
Schaffner's acacia,Acacia schaffneri,3,,3,,,,
Visco,Acacia visco,3,,3,,,,
Willard acacia,Acacia willardiana,3,,3,,,,
Fever tree,Acacia xanthophloea,3,,3,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Acanthosicyos,2,,2,,,,
http://www.fruitipedia.com/,Acanthosyris,2,,2,,,,
Feijoa,Acca sellowiana,1,,1,,,,
Maple,Acer,1,bee,2,1,,,
Florida maple,Acer barbatum,1,syn,1,1,[syn] Acer floridanum (sometimes also Acer saccharum actually),http://en.wikipedia.org/wiki/Acer_barbatum,
Trident maple,Acer buergeranum,1,mis,-1,1,[mis] Acer buergerianum,,
Trident maple,Acer buergerianum,1,bee,-1,1,,,
Hedge maple,Acer campestre,1,bee,-1,1,,,
Florida maple,Acer floridanum,1,,1,1,Maple syrup. Better than Acer saccharum?!,http://www.eattheweeds.com/maples-how-sweet-it-is-2/,
Silver maple,Acer freemanii,1,syn,1,1,"[syn] Acer saccharinum, Acer 'Autumn Blaze'",,
Amur maple,Acer ginnala ,1,bee,-1,1,,,
Bigtooth maple,Acer grandidentatum,1,bee,2,1,,,
Paperbark maple,Acer griseum,1,bee,-1,1,,,
Bigleaf maple,Acer macrophyllum,1,bee,2,1,,,
Miyabe maple,Acer miyabei,1,bee,-1,1,,,
Box elder,Acer negundo,1,,1,1,Maple syrup,http://en.wikipedia.org/wiki/Acer_rubrum,
Boxelder maple,Acer negundo,1,cyn,1,1,Maple syrup,,
Black maple,Acer nigrum,1,,1,1,Maple syrup (commercial),,
Japanese Maple,Acer palmatum,1,bee,-1,1,,,
Striped maple,Acer pensylvanicum,1,bee,-1,1,,,
Norway Maple,Acer platanoides,1,,1,1,Maple syrup,http://en.wikipedia.org/wiki/Acer_rubrum,
Sycamore maple,Acer pseudoplatanus,1,bee,-1,1,Sap causes dermatitis,,
Red maple,Acer rubrum,1,,1,1,Maple syrup,http://en.wikipedia.org/wiki/Acer_rubrum,
Silver maple,Acer saccharinum,1,,1,1,Maple syrup,http://en.wikipedia.org/wiki/Acer_rubrum,
Sugar maple,Acer saccharum,1,,1,1,Maple syrup (commercial),,
Amur maple,Acer tataricum ginnala,1,syn,-1,1,[syn] Acer ginnala,,
https://fallingfruit.org/,Achillea,2,,2,,,,
http://pfaf.org,Achnatherum,2,,2,,PFAF = 3,,
Eggfruit,Achradelpha,2,syn,2,,[syn] Pouteria,,
Star apple,Achras cainito,1,syn,1,,,,
Creek lilly pilly,Acmena smithii,2,syn,2,,,,
http://pfaf.org,Acorus,2,,2,,PFAF > 3,,
http://www.fruitipedia.com/,Acrocomia,2,,2,,,,
Lemon aspen,Acronychia acidula,1,,1,,"Very acidic, popular in beverages",,
,Acrotriche,2,,2,,,,
,Actinida,2,,2,,,,
Kiwifruit,Actinidia,1,,1,,,,
Baobab,Adansonia,2,,2,,,,
African baobab,Adansonia digitata,1,,1,,Neglected and underutilized crop,http://en.wikipedia.org/wiki/Neglected_and_underutilized_crop,
Za baobab,Adansonia za,1,,1,,,http://tropical.theferns.info/viewtropical.php?id=Adansonia+za,
http://pfaf.org,Adenophora,2,,2,,PFAF = 3,,
http://pfaf.org,Adiantum,2,,2,,PFAF = 3,,
Bael,Aegle marmelos,1,,1,,Large aromatic fruit,,
https://fallingfruit.org/,Aegopodium,2,,2,,,,
Horse-chestnut,Aesculus,2,,2,,,,
California buckeye,Aesculus californica,2,,2,,Toxic if not bletted. Pollen hazardous to honeybees,,
Red horse-chestnut,Aesculus carnea,2,,2,,,,
Yellow buckeye,Aesculus flava,1,,1,,,,
Ohio buckeye,Aesculus glabra,1,bee,2,1,Toxic if not bletted,,
Common horse-chestnut,Aesculus hippocastanum,2,,2,,Toxic if not bletted,,
Yellow buckeye,Aesculus octandra,1,syn,1,,[syn] Aesculus flava,,
Red buckeye,Aesculus pavia,2,,2,,Toxic if not bletted,,
http://fruitandnuttrees.com/,Aframomum,2,,2,,,,
http://www.fruitipedia.com/,Afrocarpus,2,,2,,,,
,Afrocarpus gracilior,-1,,-1,,,,
https://fallingfruit.org/,Agaricus,2,,2,,,,
https://fallingfruit.org/,Agastache,2,,2,,,,
Agave,Agave,2,,2,,"Edible flowers, heart, nectar",,
Century plant,Agave americana,1,,1,,,http://www.pfaf.org/user/Plant.aspx?LatinName=Agave%20americana,
Carribean agave,Agave angustifolia,1,,1,,,http://tropical.theferns.info/viewtropical.php?id=Agave+angustifolia,
Cowhorn agave,Agave bovicornuta,2,,2,,,http://en.wikipedia.org/wiki/Agave_bovicornuta,
Agave cerulata,Agave cerulata,3,,3,,,,
Desert agave,Agave deserti,2,,2,,,http://www.eattheweeds.com/century-plant/,
Smooth agave,Agave desmettiana,3,,3,,,,
Twin flowered agave,Agave geminiflora,3,,3,,,,
Shindagger,Agave lechuguilla,-1,,-1,,Toxic,http://www.eattheweeds.com/century-plant/,
Thorncrest agave ,Agave lophantha,3,mis,3,,[mis] Agave lopantha,,
Thorncrest agave ,Agave lopantha,3,syn,3,,[syn] Agave univittata,,
Thorncrest agave ,Agave univittata,3,,3,,,,
Black-spined agave,Agave macroacantha,3,,3,,,,
Mountain agave,Agave montana,3,,3,,,,
Hohokam agave,Agave murpheyi,1,,1,,Bred for food,http://en.wikipedia.org/wiki/Agave_murpheyi,
Amolillo,Agave ocahui,3,,3,,,,
Whale's tonque agave,Agave ovatifolia,3,,3,,,,
Palmer's century plant,Agave palmeri,2,,2,,,http://www.eattheweeds.com/century-plant/,
Parry's agave,Agave parryi,1,,1,,,http://www.pfaf.org/user/Plant.aspx?LatinName=Agave%20parryi,
Mezcal pelòn,Agave pelona,3,,3,,,,
Mescal pardo,Agave sobria,3,,3,,,,
Durango delight,Agave striata,3,,3,,,,
Queen victoria agave,Agave victoriae-reginae,3,,3,,,,
Weber's agave,Agave weberi,2,,2,,,http://apps.cals.arizona.edu/arboretum/taxon.aspx?id=766,
http://www.fruitipedia.com/,Aglaia,2,,2,,,,
http://pfaf.org,Agrimonia,2,,2,,PFAF = 3,,
,Ailanthus,-1,,-1,,,,
Tree of heaven,Ailanthus altissima,-1,,-1,,,,
http://www.fruitipedia.com/,Aiphanes,2,,2,,,,
http://www.fruitipedia.com/,Akebia,2,,2,,,,
http://www.fruitipedia.com/,Alangium,2,,2,,,,
https://fallingfruit.org/,Albizia,2,,2,,,,
Persian silk tree,Albizia julibrissin,1,,1,,,,
Lebbeck,Albizia lebbeck,1,bee,-1,1,Only medicinal uses?,http://www.fao.org/ag/AGP/AGPC/doc/publicat/gutt-shel/x5556e0a.htm,http://www.eattheweeds.com/albizia-julibrissin-tripinnated-lunch-2/
Sinaloan silk tree,Albizia sinaloensis,-1,,-1,-1,,,
http://pfaf.org,Alcea,2,,2,,PFAF = 3,,
https://fallingfruit.org/,Alchemilla,2,,2,,,,
Titoki,Alectryon excelsus,2,,2,,Unpalatable fruit?!,,
Candlenut,Aleurites moluccana,1,,1,,Widely used nuts,,
Marmelada,Alibertia edulis,1,,1,,"Amazon, like marmelade and quince",,
Borojo,Alibertia patinoi,1,,1,,Large fruit growing in Colombia and Ecuador,,
http://www.fruitipedia.com/,Allagoptera,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Allanblackia,2,,2,,,,
https://fallingfruit.org/,Alliaria,2,,2,,,,
https://fallingfruit.org/,Allium,2,,2,,,,
Alder,Alnus,-1,,-1,,Famine food,,
Aloe,Aloe,2,,2,,Mostly medicinal...,,
Aloe vera,Aloe barbadensis,1,syn,1,,[syn] Aloe vera,,
Cape aloe,Aloe ferox,1,,1,,,http://www.kew.org/science-conservation/plants-fungi/aloe-ferox-cape-aloes,
Mountain aloe,Aloe marlothii,2,,2,,,http://www.kew.org/science-conservation/plants-fungi/aloe-marlothii-mountain-aloe,
Aloe vera,Aloe vera,1,,1,,,,
https://fallingfruit.org/,Aloysia,2,,2,,,,
Native ginger,Alpinia caerulea,2,,2,,Used as spice,,
http://pfaf.org,Alstroemeria,2,,2,,PFAF = 3,,
http://pfaf.org,Althaea,2,,2,,PFAF > 3,,
Amaranth,Amaranth,1,,1,,,,
http://pfaf.org,Amaranthus,2,,2,,PFAF > 3,,
http://www.fruitipedia.com/,Ambelania,2,,2,,,,
Serviceberry,Amelanchier,1,,1,,,,
Saskatoon,Amelanchier alnifolia,1,,1,,,,
Downy serviceberry,Amelanchier arborea,1,,1,,,,
Canadian serviceberry,Amelanchier canadensis,1,,1,,,,
Apple serviceberry,Amelanchier grandiflora,1,,1,,Amelanchier x grandiflora,,
Allegheny serviceberry,Amelanchier laevis,1,,1,,,,
http://pfaf.org,Ammi,2,,2,,PFAF = 3,,
http://pfaf.org,Ammophila,2,,2,,PFAF = 3,,
Luma,Amomyrtus luma,1,,1,,"Likened to currants, used for marmalades",,
http://www.desertsurvivors.org/Nursery/Plant_DB/PlantList.html,Amoreuxia ,2,,2,,,,
http://pfaf.org,Amorpha,2,,2,,PFAF = 3,,
,Ampelocissus,2,,2,,,,
http://pfaf.org,Amphicarpaea,2,,2,,PFAF > 3,,
Cashew,Anacardium occidentale,1,,1,,,,
http://www.fruitipedia.com/,Anacolosa,2,,2,,,,
http://www.fruitipedia.com/,Ananas,2,,2,,,,
Pineapple,Ananas comosus,1,,1,,,,
http://pfaf.org,Anchusa,2,,2,,PFAF = 3,,
http://fruitandnuttrees.com/,Ancylobothrys,2,,2,,,,
http://fruitandnuttrees.com/,Ancylobotrys,2,syn,2,,[syn] Ancylobothrys,,
https://fallingfruit.org/,Anethum,2,,2,,,,
http://pfaf.org,Angelica,2,,2,,PFAF > 3,,
http://www.fruitipedia.com/,Anisophyllea,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Anisoptera,2,,2,,,,
Cherimoya,Annona cherimola,1,,1,,,,
Soursop,Annona muricata,1,,1,,,,
Bullocks heart,Annona reticulata,1,,1,,,,
Sugar-apple,Annona squamosa,1,,1,,,,
http://www.fruitipedia.com/,Anonidium,2,,2,,,,
http://www.fruitipedia.com/,Anthopterus,2,,2,,,,
http://pfaf.org,Anthoxanthum,2,,2,,PFAF = 3,,
https://fallingfruit.org/,Anthriscus,2,,2,,,,
Bignay,Antidesma bunius,1,,1,,Similar to currant (Currant tree),,
,Antigonon leptopus,,,,1,,http://www.desertsurvivors.org/Nursery/Plant_DB/PlantList.html,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Antrocaryon,2,,2,,,,
http://pfaf.org,Apios,2,,2,,PFAF > 3,,
http://pfaf.org,Apium,2,,2,,PFAF > 3,,
http://pfaf.org,Apocynum,2,,2,,PFAF = 3,,
https://fallingfruit.org/,Aquilegia,2,,2,,,,
,Arachis,2,,2,,,,
Chinese angelica tree,Aralia chinensis,2,,2,,,,
Japanese Angelica Tree,Aralia elata,1,,1,,,,
Devils Walkingstick,Aralia spinosa,1,bee,2,1,,,
Araucaria species,Araucaria,2,,2,,Large pine nuts,,
Monkey Puzzle,Araucaria araucana,1,,1,,,,
Bunya pine,Araucaria bidwillii,1,,1,,,,
Norfolk island Pine,Araucaria heterophylla,1,,1,,Edible seeds,,
,Arborvitae,-1,syn,-1,,[syn] Thuja,,
Marina strawberry tree,Arbutus 'Marina',2,,2,,"Hybrid, related to Arbutus unedo",,
Pacific madrone,Arbutus menzesii,2,mis,2,,[mis] Arbutus menziesii,,
Pacific madrone,Arbutus menziesii,2,,2,,"Astringent berries, chewed or made into cider",,
Strawberry Tree,Arbutus unedo,1,,1,,,,
Texas madrone,Arbutus xalapensis,2,,2,,,http://en.wikipedia.org/wiki/Arbutus_xalapensis,
http://www.fruitipedia.com/,Archidendron,2,,2,,,,
,Archirhodomyrtus,2,,2,,,,
King palm,Archontophoenix alexandrae,-1,,-1,,Edibility unknown,,
https://fallingfruit.org/,Arctium,2,,2,,,,
Bearberry,Arctostaphylos,1,,1,,,,
Whiteleaf manzanita,Arctostaphylos manzanita,1,,1,,,,
http://www.fruitipedia.com/,Ardisia,2,,2,,,,
Betel nut palm,Areca catechu,2,,2,,Sort of a drug....,,
Palm tree,Arecaceae,2,,2,,,,
Sugar palm,Arenga pinnata,1,,1,,,,
http://fruitandnuttrees.com/,Argania,2,,2,,,,
http://pfaf.org,Argemone,2,,2,,PFAF = 3,,
http://pfaf.org,Arisaema,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Aristotelia,2,,2,,,,
http://www.fruitipedia.com/,Armeniaca,2,syn,2,,[syn] Prunus species,,
https://fallingfruit.org/,Armoracia,2,,2,,,,
Chokeberry,Aronia,1,,1,,,,
Red chokeberry,Aronia arbutifolia,1,,1,,,,
Black chokeberry,Aronia melanocarpa,1,,1,,,,
Purple chokeberry,Aronia prunifolia,1,,1,,,,
Arracacha,Arracacia xanthorrhiza,1,,1,,Tuber,,
https://fallingfruit.org/,Artemisia,2,,2,,,,
http://pfaf.org,Arthropodium,2,,2,,PFAF = 3,,
Breadfruit,Artocarpus altilis,1,,1,,,,
Jackfruit,Artocarpus heterophyllus,1,,1,,,,
http://pfaf.org,Arundinaria,2,,2,,PFAF = 3,,
http://pfaf.org,Arundo,2,,2,,PFAF = 3,,
http://pfaf.org,Asarum,2,,2,,PFAF > 3,,
https://fallingfruit.org/,Asclepias,2,,2,,,,
Pawpaw,Asimina triloba,1,,1,,,,
http://pfaf.org,Aspalathus,2,,2,,PFAF = 3,,
https://fallingfruit.org/,Asparagus,2,,2,,,,
http://pfaf.org,Asphodeline,2,,2,,PFAF > 3,,
http://pfaf.org,Asphodelus,2,,2,,PFAF = 3,,
http://pfaf.org,Aster,2,,2,,PFAF = 3,,
,Astragalus,2,,2,,,,
http://www.fruitipedia.com/,Astrocaryum,2,,2,,,,
http://fruitandnuttrees.com/,Astroloma,2,,2,,,,
,Atalantia,3,,3,,,http://www.eattheweeds.com/atalantia-buxifolia-wine-cake-thorn-2/,
Atherton oak,Athertonia diversifolia,1,,1,,Nut similar to almond,,
Saltbush,Atriplex,1,,1,,,,
Grey saltbush,Atriplex cinerea,1,,1,,,,
Mediterranean saltbush,Atriplex halimus,1,,1,,,,
Garden orache,Atriplex hortensis,1,,1,,,,
Common orache,Atriplex patula,1,,1,,,,
,Attalea,2,,2,,Palm,,
https://fallingfruit.org/,Auricularia,2,,2,,,,
Midyim,Austromyrtus dulcis,1,,1,,Sweet berries,,
http://pfaf.org,Avena,2,,2,,PFAF > 3,,
Starfruit,Averrhoa carambola,1,,1,,,,
https://fallingfruit.org/,Azadirachta,2,,2,,,,
http://www.fruitipedia.com/,Azanza,2,syn,2,,[syn] Thespesia,,
http://pfaf.org,Azorina,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Baccaurea,2,,2,,,,
https://fallingfruit.org/,Backhousia,2,,2,,,,
Peach palm,Bactris gasipaes,1,,1,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Baillonella,2,,2,,,,
http://www.fruitipedia.com/,Balanites,2,,2,,,,
,Balsamocitrus,2,,2,,,,
http://pfaf.org,Balsamorhiza,2,,2,,PFAF > 3,,
Bamboo (Bambusa),Bambusa,1,,1,,Pretty much all bamboo shoots are edible,http://www.eattheweeds.com/bamboo-doesn%E2%80%99t-bamboozle-you/,
Oldham bamboo,Bambusa oldhamii,1,,1,,Young shoots consumed in Taiwan,http://en.wikipedia.org/wiki/Bambusa_oldhamii,
https://fallingfruit.org/,Barbarea,2,,2,,,,
Cut nut,Barringtonia edulis,2,,2,,More info needed,,
https://fallingfruit.org/,Basella,2,,2,,,,
http://www.fruitipedia.com/,Bassia,2,,2,,,,
,Bauhinia lunarioides,-1,syn,-1,,[syn] Senegalia crassifolia,,
,Bauhinia lunaroides,,,,1,,http://www.desertsurvivors.org/Nursery/Plant_DB/PlantList.html,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Beilschmiedia,2,,2,,,,
http://pfaf.org,Bellis,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Bellucia,2,,2,,,,
,Benincasa,2,,2,,,,
Kousa dogwood,Benthamidia kousa,1,syn,1,,,,
http://www.fruitipedia.com/,Berberis,1,bee,2,1,,,
http://www.fruitipedia.com/,Berchemia,2,,2,,,,
http://www.fruitipedia.com/,Bergera,2,,2,,,,
Brazil Nut,Bertholletia excelsa,1,,1,,,,
https://fallingfruit.org/,Beta,2,,2,,,,
Birch,Betula,2,,2,,"Many uses, including sweet sap.",,
Yellow birch,Betula alleghaniensis,1,,1,,,,
Kenai birch,Betula kenaica,1,,1,,,,
Cherry birch,Betula lenta,1,,1,,,,
River birch,Betula nigra,1,,1,,,,
Water birch,Betula occidentalis,1,,1,,,,
Paper birch,Betula papyrifera,1,,1,,,,
Silver birch,Betula pendula,1,,1,,,,
Gray birch,Betula populifolia,2,,2,,,,
White birch,Betula pubescens,1,,1,,,,
https://fallingfruit.org/,Bidens,2,,2,,,,
,Billarderia,2,syn,2,,[syn] Billardiera,,
Apple berry,Billardiera scandens,1,,1,,Large tasty fruit,,
Annatto,Bixa orellana,1,,1,,,,
Ackee,Blighia sapida,1,,1,,National fruit of Jamaica,,
http://pfaf.org,Boehmeria,2,,2,,PFAF > 3,,
https://fallingfruit.org/,Boletus,2,,2,,,,
http://pfaf.org,Bomarea,2,,2,,PFAF = 3,,
,Bombacopsis,2,,2,,,,
http://fruitandnuttrees.com/,Boquila,2,,2,,,,
https://fallingfruit.org/,Borago,2,,2,,,,
Palymra palm,Borassus,2,,2,,,,
Borojo,Borojoa patinoi,1,syn,1,,,,
http://www.fruitipedia.com/,Boscia,2,,2,,,,
Plum mango,Bouea macrophylla,1,,1,,Related to mango,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Brabejum,2,,2,,,,
Illawarra Flame Tree,Brachychiton acerifolius,2,,2,,Edible seeds roasted,http://www.fao.org/docrep/v8929e/v8929e08.htm,
Pink bottle tree,Brachychiton x excellens,-1,,-1,,,,
Kurrajong,Brachychiton populneum,1,mis,1,,[mis] Oakland,,
Kurrajong,Brachychiton populneus,1,,1,,Seeds roasted by aborigines,,
Queensland bottle tree,Brachychiton rupestris,2,,2,,Edible parts,http://malleenativeplants.com.au/brachychiton-rupestris-bottle-tree-2/,
Hesper palm,Brahea,2,,2,,,,
Sinaloa hesper palm,Brahea aculeata,2,,2,,,http://books.google.com/books?id=cjHCoMQNkcgC&pg=PA105&lpg=PA105&dq=Brahea+aculeata+edible&source=bl&ots=u-Wqau-K-1&sig=apdqIzC8mzFX0glflVKPokTan3o&hl=en&sa=X&ei=IQnZU6CGAdGGyATDpIH4CA&ved=0CDEQ6AEwBw#v=onepage&q=Brahea%20aculeata%20edible&f=false,
Mexican blue palm,Brahea armata,2,,2,,"Small fruit, not highly prized",http://books.google.com/books?id=cjHCoMQNkcgC&pg=PA105&lpg=PA105&dq=Brahea+aculeata+edible&source=bl&ots=u-Wqau-K-1&sig=apdqIzC8mzFX0glflVKPokTan3o&hl=en&sa=X&ei=IQnZU6CGAdGGyATDpIH4CA&ved=0CDEQ6AEwBw#v=onepage&q=Brahea%20aculeata%20edible&f=false,
Babisa,Brahea brandegeei,2,,2,,,,
Guadalupe palm,Brahea edulis,1,,1,,,http://davesgarden.com/guides/pf/go/57884/#b,
Oaxaca palm,Brahea nitida,2,,2,,,,
,Brahea dulcis,1,,1,,,http://books.google.com/books?id=cjHCoMQNkcgC&pg=PA105&lpg=PA105&dq=Brahea+aculeata+edible&source=bl&ots=u-Wqau-K-1&sig=apdqIzC8mzFX0glflVKPokTan3o&hl=en&sa=X&ei=IQnZU6CGAdGGyATDpIH4CA&ved=0CDEQ6AEwBw#v=onepage&q=Brahea%20aculeata%20edible&f=false,
http://pfaf.org,Brasenia,2,,2,,PFAF = 3,,
https://fallingfruit.org/,Brassica,2,,2,,,,
http://pfaf.org,Brodiaea,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Brosimum,2,,2,,,,
Broussonetia,Broussonetia,2,,2,,,,
,Broussonetia kazinoki,1,,1,,,,
Paper mulberry,Broussonetia papyrifera,1,,1,,,http://www.eattheweeds.com/broussonetia-papyrifera-paper-chase-2/,
Little gooseberry tree,Buchanania arborescens,2,,2,,More info needed,,
http://www.fruitipedia.com/,Buchenavia,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Buchholzia,2,,2,,,,
http://pfaf.org,Bulbinopsis,2,,2,,PFAF = 3,,
Bully tree,Bumelia,2,syn,2,,[syn] Sideroxylon,,
Gum bully,Bumelia lanuginosa,2,syn,2,,[syn] Sideroxylon lanuginosum,,
http://www.fruitipedia.com/,Bunchosia,2,,2,,,,
http://pfaf.org,Bunias,2,,2,,PFAF > 3,,
http://pfaf.org,Bunium,2,,2,,PFAF > 3,,
http://pfaf.org,Bupleurum,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Burbroma,2,syn,2,,[syn] Theobroma,,
http://www.fruitipedia.com/,Burchellia,2,,2,,,,
Jelly palm,Butia capitata,1,,1,,,,
Wooly jelly palm,Butia eriospatha,1,,1,,,,
Jelly palm,Butia odorata,1,syn,1,,,,
http://pfaf.org,Butomus,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Byrsonima,2,,2,,,,
http://www.fruitipedia.com/,Cadaba,2,,2,,,,
Desert bird of paradise,Caesalpinia mexicana,1,bee,2,1,Edible seeds,http://www.desertsurvivors.org/Nursery/Plant_DB/PlantList.html,http://apps.cals.arizona.edu/arboretum/taxon.aspx?id=940
Cascalote,Caesalpinia cacalaco,2,,2,,Edible seeds,http://www.banana-tree.com/Product/CAESALPINIA-cacalaco-Cascalote-SKU351-328.htm,
Yellow bird of paradise,Caesalpinia gilliesii,-1,,-1,,Poisonous,http://www.pfaf.org/user/Plant.aspx?LatinName=Caesalpinia+gilliesii,
Piojo,Caesalpinia palmeri,1,bee,0,1,,http://books.google.com/books?id=g3FvNaYuMfQC&pg=PA74&lpg=PA74&dq=Caesalpinia+palmeri+edible&source=bl&ots=AtP118sjtj&sig=1tyj2WhGhz7r75z0bJSPB_JRH1o&hl=en&sa=X&ei=ZQ3ZU9f0F4SuyASqvYBA&ved=0CJYBEOgBMA4#v=onepage&q=Caesalpinia&f=false,
Tranquility tree,Caesalpinia paraguarensis,0,,0,,,,
Red bird of paradise,Caesalpinia pucherrima,2,mis,2,,[mis] Caesalpinia pulcherrima,,
Red bird of paradise,Caesalpinia pulcherrima,2,,2,,Immature seeds edible,http://www.eattheweeds.com/newsletter-2-april-2012/,
https://fallingfruit.org/,Cajanus,2,,2,,,,
http://pfaf.org,Calamintha,2,,2,,PFAF = 3,,
,Calamus,2,,2,,,,
https://fallingfruit.org/,Calendula,2,,2,,,,
Texas mountain laurel,Calia secundiflora,-1,,-1,,Poisonous (and hallucinogen),http://en.wikipedia.org/wiki/Sophora_secundiflora,
Beautyberry,Callicarpa,2,,2,,Only C. americana is of any interest,,
American beautyberry,Callicarpa americana,2,,2,,"Astringent, only in small amounts",,
http://pfaf.org,Callirhoe,2,,2,,PFAF = 3,,
http://pfaf.org,Calluna,2,,2,,PFAF = 3,,
Eggfruit,Calocarpum,1,syn,1,,[syn] Pouteria,,
Incense cedar,Calocedrus,-1,,-1,,,,
Cape chestnut,Calodendrum capense,2,,2,,No reports on edibility...,,
http://www.fruitipedia.com/,Calophyllum,2,,2,,,,
https://fallingfruit.org/,Calvatia,2,,2,,,,
http://pfaf.org,Calycanthus,2,,2,,PFAF = 3,,
http://pfaf.org,Camassia,2,,2,,PFAF > 3,,
http://pfaf.org,Camelina,2,,2,,PFAF = 3,,
Camellia,Camellia,2,,2,,,,
Japanese camellia,Camellia japonica,2,,2,,"Seeds for Camellia oil, maybe flowers and leaves edible?",,
Tea,Camellia sinensis,1,,1,,Tea plant,,
http://pfaf.org,Campanula,2,,2,,PFAF > 3,,
http://www.fruitipedia.com/,Campomanesia,2,,2,,,,
Pili nut,Canarium ovatum,1,,1,,Commercial crop in Philippines,,
http://pfaf.org,Canna,2,,2,,PFAF > 3,,
https://fallingfruit.org/,Cannabis,2,,2,,,,
https://fallingfruit.org/,Cantharellus,2,,2,,,,
http://www.fruitipedia.com/,Canthium,2,,2,,,,
