ISO6391,ISO6392,ISO6392.syn,en_name,scope,type
,cba,cba,chibchan languages,collective,
,ccn,ccn,north caucasian languages,collective,
,ccs,ccs,south caucasian languages,collective,
,cdc,cdc,chadic languages,collective,
,cdd,cdd,caddoan languages,collective,
,ceb,ceb,cebuano,individual,living
,cel,cel,celtic languages,collective,
,chb,chb,chibcha,individual,extinct
,chg,chg,chagatai,individual,extinct
,chk,chk,chuukese,individual,living
,chm,chm,mari,macrolanguage,living
,chn,chn,chinook jargon,individual,living
,cho,cho,choctaw,individual,living
,chp,chp,chipewyan,individual,living
,chr,chr,cherokee,individual,living
,chy,chy,cheyenne,individual,living
,cmc,cmc,chamic languages,collective,
,cop,cop,coptic,individual,extinct
,cpe,cpe,english based creoles and pidgins,collective,
,cpf,cpf,french-based creoles and pidgins,collective,
,cpp,cpp,portuguese-based creoles and pidgins,collective,
,crh,crh,crimean tatar,individual,living
,crp,crp,creoles and pidgins,collective,
,csb,csb,kashubian,individual,living
,csu,csu,central sudanic languages,collective,
,cus,cus,cushitic languages,collective,
,dak,dak,dakota,individual,living
,dar,dar,dargwa,individual,living
,day,day,land dayak languages,collective,
,del,del,delaware,macrolanguage,living
,den,den,slave,macrolanguage,living
,dgr,dgr,dogrib,individual,living
,din,din,dinka,macrolanguage,living
,dmn,dmn,mande languages,collective,
,doi,doi,dogri,macrolanguage,living
,dra,dra,dravidian languages,collective,
,dsb,dsb,lower sorbian,individual,living
,dua,dua,duala,individual,living
,dum,dum,middle dutch,individual,historical
,dyu,dyu,dyula,individual,living
,efi,efi,efik,individual,living
,egx,egx,egyptian languages,collective,
,egy,egy,egyptian,individual,ancient
,eka,eka,ekajuk,individual,living
,elx,elx,elamite,individual,ancient
,enm,enm,middle english,individual,historical
,esx,esx,eskimo-aleut languages,collective,
,euq,euq,basque languages,collective,
,ewo,ewo,ewondo,individual,living
,fan,fan,fang,individual,living
,fat,fat,fanti,individual,living
,fil,fil,filipino,individual,living
,fiu,fiu,finno-ugrian languages,collective,
,fon,fon,fon,individual,living
,fox,fox,formosan languages,collective,
,frm,frm,middle french,individual,historical
,fro,fro,old french,individual,historical
,frr,frr,northern frisian,individual,living
,frs,frs,eastern frisian,individual,living
,fur,fur,friulian,individual,living
,gaa,gaa,ga,individual,living
,gay,gay,gayo,individual,living
,gba,gba,gbaya,macrolanguage,living
,gem,gem,germanic languages,collective,
,gez,gez,geez,individual,ancient
,gil,gil,gilbertese,individual,living
,gme,gme,east germanic languages,collective,
,gmh,gmh,middle high german,individual,historical
,gmq,gmq,north germanic languages,collective,
,gmw,gmw,west germanic languages,collective,
,goh,goh,old high german,individual,historical
,gon,gon,gondi,macrolanguage,living
,gor,gor,gorontalo,individual,living
,got,got,gothic,individual,ancient
,grb,grb,grebo,macrolanguage,living
,grc,grc,ancient greek,individual,historical
,grk,grk,greek languages,collective,
,gsw,gsw,swiss german,individual,living
,gwi,gwi,gwichʼin,individual,living
,hai,hai,haida,macrolanguage,living
,haw,haw,hawaiian,individual,living
,hil,hil,hiligaynon,individual,living
,him,him,himachali languages,collective,
,hit,hit,hittite,individual,ancient
,hmn,hmn,hmong,macrolanguage,living
,hmx,hmx,hmong-mien languages,collective,
,hok,hok,hokan languages,collective,
,hsb,hsb,upper sorbian,individual,living
,hup,hup,hupa,individual,living
,hyx,hyx,armenian languages,collective,
,iba,iba,iban,individual,living
,iir,iir,indo-iranian languages,collective,
,ijo,ijo,ijo languages,collective,
,ilo,ilo,iloko,individual,living
,inc,inc,indic languages,collective,
,ine,ine,indo-european languages,collective,
,inh,inh,ingush,individual,living
,ira,ira,iranian languages,collective,
,iro,iro,iroquoian languages,collective,
,itc,itc,italic languages,collective,
,jbo,jbo,lojban,individual,constructed
,jpr,jpr,judeo-persian,individual,living
,jpx,jpx,japanese languages,collective,
,jrb,jrb,judeo-arabic,macrolanguage,living
,kaa,kaa,kara-kalpak,individual,living
,kab,kab,kabyle,individual,living
,kac,kac,kachin,individual,living
,kam,kam,kamba,individual,living
,kar,kar,karen languages,collective,
,kaw,kaw,kawi,individual,ancient
,kbd,kbd,kabardian,individual,living
,kdo,kdo,kordofanian languages,collective,
,kha,kha,khasi,individual,living
,khi,khi,khoisan languages,collective,
,kho,kho,khotanese,individual,ancient
,kmb,kmb,kimbundu,individual,living
,kok,kok,konkani,macrolanguage,living
,kos,kos,kosraean,individual,living
,kpe,kpe,kpelle,macrolanguage,living
,krc,krc,karachay-balkar,individual,living
,krl,krl,karelian,individual,living
,kro,kro,kru languages,collective,
,kru,kru,kurukh,individual,living
,kum,kum,kumyk,individual,living
,kut,kut,kutenai,individual,living
,lad,lad,ladino,individual,living
,lah,lah,lahnda,macrolanguage,living
,lam,lam,lamba,individual,living
,lez,lez,lezghian,individual,living
,lol,lol,mongo,individual,living
,loz,loz,lozi,individual,living
,lua,lua,luba-lulua,individual,living
,lui,lui,luiseno,individual,living
,lun,lun,lunda,individual,living
,luo,luo,luo,individual,living
,lus,lus,lushai,individual,living
,mad,mad,madurese,individual,living
,mag,mag,magahi,individual,living
,mai,mai,maithili,individual,living
,mak,mak,makasar,individual,living
,man,man,mandingo,macrolanguage,living
,map,map,austronesian languages,collective,
,mas,mas,masai,individual,living
,mdf,mdf,moksha,individual,living
,mdr,mdr,mandar,individual,living
,men,men,mende,individual,living
,mga,mga,middle irish,individual,historical
,mic,mic,mi'kmaq,individual,living
,min,min,minangkabau,individual,living
,mkh,mkh,mon-khmer languages,collective,
,mnc,mnc,manchu,individual,living
,mni,mni,manipuri,individual,living
,mno,mno,manobo languages,collective,
,moh,moh,mohawk,individual,living
,mos,mos,mossi,individual,living
,mun,mun,munda languages,collective,
,mus,mus,creek,individual,living
,mwl,mwl,mirandese,individual,living
,mwr,mwr,marwari,macrolanguage,living
,myn,myn,mayan languages,collective,
,myv,myv,erzya,individual,living
,nah,nah,nahuatl languages,collective,
,nai,nai,north american indian languages,collective,
,nap,nap,neapolitan,individual,living
,nds,nds,low german,individual,living
,new,new,nepal bhasa,individual,living
,ngf,ngf,trans-new guinea languages,collective,
,nia,nia,nias,individual,living
,nic,nic,niger-kordofanian languages,collective,
,niu,niu,niuean,individual,living
,nog,nog,nogai,individual,living
,non,non,old norse,individual,historical
,nqo,nqo,n'ko,individual,living
,nso,nso,pedi,individual,living
,nub,nub,nubian languages,collective,
,nwc,nwc,classical newari,individual,historical
,nym,nym,nyamwezi,individual,living
,nyn,nyn,nyankole,individual,living
,nyo,nyo,nyoro,individual,living
,nzi,nzi,nzima,individual,living
,omq,omq,oto-manguean languages,collective,
,omv,omv,omotic languages,collective,
,osa,osa,osage,individual,living
,ota,ota,ottoman turkish,individual,historical
,oto,oto,otomian languages,collective,
,paa,paa,papuan languages,collective,
,pag,pag,pangasinan,individual,living
,pal,pal,pahlavi,individual,ancient
,pam,pam,pampanga,individual,living
,pap,pap,papiamento,individual,living
,pau,pau,palauan,individual,living
,peo,peo,old persian,individual,historical
,phi,phi,philippine languages,collective,
,phn,phn,phoenician,individual,ancient
,plf,plf,central malayo-polynesian languages,collective,
,pon,pon,pohnpeian,individual,living
,poz,poz,malayo-polynesian languages,collective,
,pqe,pqe,eastern malayo-polynesian languages,collective,
,pqw,pqw,western malayo-polynesian languages,collective,
,pra,pra,prakrit languages,collective,
,pro,pro,old provençal,individual,historical
,qwe,qwe,quechuan languages,collective,
,raj,raj,rajasthani,macrolanguage,living
,rap,rap,rapanui,individual,living
,rar,rar,rarotongan,individual,living
,roa,roa,romance languages,collective,
,rom,rom,romany,macrolanguage,living
,rup,rup,macedo-romanian,individual,living
,sad,sad,sandawe,individual,living
,sah,sah,yakut,individual,living
,sai,sai,south american indian languages,collective,
,sal,sal,salishan languages,collective,
,sam,sam,samaritan aramaic,individual,extinct
,sas,sas,sasak,individual,living
,sat,sat,santali,individual,living
,scn,scn,sicilian,individual,living
,sco,sco,scots,individual,living
,sdv,sdv,eastern sudanic languages,collective,
,sel,sel,selkup,individual,living
,sem,sem,semitic languages,collective,
,sga,sga,old irish,individual,historical
,sgn,sgn,sign languages,collective,
,shn,shn,shan,individual,living
,sid,sid,sidamo,individual,living
,sio,sio,siouan languages,collective,
,sit,sit,sino-tibetan languages,collective,
,sla,sla,slavic languages,collective,
,sma,sma,southern sami,individual,living
,smi,smi,sami languages,collective,
,smj,smj,lule sami,individual,living
,smn,smn,inari sami,individual,living
,sms,sms,skolt sami,individual,living
,snk,snk,soninke,individual,living
,sog,sog,sogdian,individual,ancient
,son,son,songhai languages,collective,
,sqi,sqi,albanian languages,collective,
,srn,srn,sranan tongo,individual,living
,srr,srr,serer,individual,living
,ssa,ssa,nilo-saharan languages,collective,
,suk,suk,sukuma,individual,living
,sus,sus,susu,individual,living
,sux,sux,sumerian,individual,ancient
,syc,syc,classical syriac,individual,historical
,syd,syd,samoyedic languages,collective,
,syr,syr,syriac,macrolanguage,living
,tai,tai,tai languages,collective,
,tbq,tbq,tibeto-burman languages,collective,
,tem,tem,timne,individual,living
,ter,ter,tereno,individual,living
,tet,tet,tetum,individual,living
,tig,tig,tigre,individual,living
,tiv,tiv,tiv,individual,living
,tkl,tkl,tokelau,individual,living
,tlh,tlh,klingon,individual,constructed
,tli,tli,tlingit,individual,living
,tmh,tmh,tamashek,macrolanguage,living
,tog,tog,tonga,individual,living
,tpi,tpi,tok pisin,individual,living
,trk,trk,turkic languages,collective,
,tsi,tsi,tsimshian,individual,living
,tum,tum,tumbuka,individual,living
,tup,tup,tupi languages,collective,
,tut,tut,altaic languages,collective,
,tuw,tuw,tungus languages,collective,
,tvl,tvl,tuvaluan,individual,living
,tyv,tyv,tuvinian,individual,living
,udm,udm,udmurt,individual,living
,uga,uga,ugaritic,individual,ancient
,umb,umb,umbundu,individual,living
,urj,urj,uralic languages,collective,
,vai,vai,vai,individual,living
,vot,vot,votic,individual,living
,wak,wak,wakashan languages,collective,
,wal,wal,wolaytta,individual,living
,war,war,waray,individual,living
,was,was,washo,individual,living
,wen,wen,sorbian languages,collective,
,xal,xal,kalmyk,individual,living
,xgn,xgn,mongolian languages,collective,
,xnd,xnd,na-dene languages,collective,
,yao,yao,yao,individual,living
,yap,yap,yapese,individual,living
,ypk,ypk,yupik languages,collective,
,zap,zap,zapotec,macrolanguage,living
,zbl,zbl,blissymbols,individual,constructed
,zen,zen,zenaga,individual,living
,zgh,zgh,standard moroccan tamazight,individual,living
,zhx,zhx,chinese languages,collective,
,zle,zle,east slavic languages,collective,
,zls,zls,south slavic languages,collective,
,zlw,zlw,west slavic languages,collective,
,znd,znd,zande languages,collective,
,zun,zun,zuni,individual,living
,zza,zza,zaza,macrolanguage,living
