locale,variant,ISO639.1,ISO639.2T,ISO639.2B,ISO639.3,ISO639.6,wikipedia,other,autonym,en,fr,de,ru,es,it,zh,ISO639.3_macro,scope,type,family,retired,wikipedia_url,notes
,,,,,kfb,,,,,northwestern kolami,,,,,,科拉米语,,individual,living,,FALSE,,
,,,,,kfc,,,,,konda-dora,,,,,,孔达语,,individual,living,,FALSE,,
,,,,,kfd,,,,,korra koraga,,,,,,,,individual,living,,FALSE,,
,,,,,kfe,,,,,kota (india),,,,,,科塔语,,individual,living,,FALSE,,
,,,,,kff,,,,,koya,,,,koya,,,,individual,living,,FALSE,,
,,,,,kfg,,,,,kudiya,,,,,,,,individual,living,,FALSE,,
,,,,,kfh,,,,,kurichiya,,,,,,,,individual,living,,FALSE,,
,,,,,kfi,,,,,"kannada kurumba, kurumba",,,,,,,,individual,living,,FALSE,,
,,,,,kfj,,,,,kemiehua,,,,,,克蔑语,,individual,living,,FALSE,,
,,,,,kfk,,,,,kinnauri,,,,kinnauri,,,,individual,living,,FALSE,,
,,,,,kfl,,,,,kung,,,,,,,,individual,living,,FALSE,,
,,,,,kfm,,,,,khunsari,,,,,,,,individual,living,,FALSE,,
,,,,,kfn,,,,,kuk,,,,,,,,individual,living,,FALSE,,
,,,,,kfo,,,,,koro (côte d'ivoire),,,,,,,,individual,living,,FALSE,,
,,,,,kfp,,,,,korwa,,,,korwa,,,,individual,living,,FALSE,,
,,,,,kfq,,,,,korku,,,,korku,,科尔库语,,individual,living,,FALSE,,
,,,,,kfr,,,,કચ્ચિ,"kachhi, kutchi, kachchi",,,,,,,,individual,living,,FALSE,,
,,,,,kfs,,,,,bilaspuri,,,,,,,,individual,living,,FALSE,,
,,,,,kft,,,,,kanjari,,,,,,,,individual,living,,FALSE,,
,,,,,kfu,,,,,katkari,,,,,,,,individual,living,,FALSE,,
,,,,,kfv,,,,,kurmukar,,,,,,,,individual,living,,FALSE,,
,,,,,kfw,,,,,kharam naga,,,,,,,,individual,living,,FALSE,,
,,,,,kfx,,,,,kullu pahari,,,,,,,,individual,living,,FALSE,,
,,,,,kfy,,,,,"kumaoni, kumauni",,,,,,,,individual,living,,FALSE,,
,,,,,kfz,,,,,koromfé,,,,,,,,individual,living,,FALSE,,
,,,,,kga,,,,,koyaga,,,,,,,,individual,living,,FALSE,,
,,,,,kgb,,,,,kawe,,,,,,,,individual,living,,FALSE,,
,,,,,kgc,,,,,kasseng,,,,,,,,individual,living,,FALSE,,
,,,,,kgd,,,,,kataang,,,,,,,,individual,living,,FALSE,,
,,,,,kge,,,,,komering,,,,,,,,individual,living,,FALSE,,
,,,,,kgf,,,,,kube,,,,,,,,individual,living,,FALSE,,
,,,,,kgg,,,,,kusunda,,,,,,,,individual,living,,FALSE,,
,,,,,kgh,,,,,upper tanudan kalinga,,,,,,,,individual,living,,TRUE,,
,,,,,kgi,,,,,selangor sign language,,,,,,雪兰莪手语,,individual,living,,FALSE,,
,,,,,kgj,,,,,gamale kham,,,,,,,,individual,living,,FALSE,,
,,,,,kgk,,,,,kaiwá,,,,kaiwá,,,,individual,living,,FALSE,,
,,,,,kgl,,,,,kunggari,,,,,,,,individual,extinct,,FALSE,,
,,,,,kgm,,,,,karipúna,,,,karipúna,,,,individual,extinct,,FALSE,,
,,,,,kgn,,,,,karingani,,,,,,,,individual,living,,FALSE,,
,,,,,kgo,,,,,krongo,,,,,,,,individual,living,,FALSE,,
,,,,,kgp,,,,,"kaingang, kaingáng",kaingáng,,,,,,,individual,living,,FALSE,,
,,,,,kgq,,,,,kamoro,,,,,,,,individual,living,,FALSE,,
,,,,,kgr,,,,,abun,abun,,,,,,,individual,living,,FALSE,,
,,,,,kgs,,,,,kumbainggar,,,,,,,,individual,living,,FALSE,,
,,,,,kgt,,,,,somyev,,,,,,,,individual,living,,FALSE,,
,,,,,kgu,,,,,kobol,,,,,,,,individual,living,,FALSE,,
,,,,,kgv,,,,,karas,,,,,,,,individual,living,,FALSE,,
,,,,,kgw,,,,,karon dori,,,,,,,,individual,living,,FALSE,,
,,,,,kgx,,,,,kamaru,,,,,,,,individual,living,,FALSE,,
,,,,,kgy,,,,,kyerung,,,,,,,,individual,living,,FALSE,,
,,,,,khb,,,,,lü,,,,,,"傣仂语, 傣泐语, 西双版纳傣语",,individual,living,,FALSE,,
,,,,,khc,,,,,tukang besi north,,,,,,,,individual,living,,FALSE,,
,,,,,khd,,,,,bädi kanum,,,,,,,,individual,living,,FALSE,,
,,,,,khe,,,,,korowai,,,,,,,,individual,living,,FALSE,,
,,,,,khf,,,,,khuen,,,,,,,,individual,living,,FALSE,,
,,,,,khg,,,,,khams tibetan,,,,,,康藏语,,individual,living,,FALSE,,
,,,,,khh,,,,,kehu,,,,,,,,individual,living,,FALSE,,
,,,,,khj,,,,,kuturmi,,,,,,,,individual,living,,FALSE,,
,,,,,khk,,,,,halh mongolian,,,,,,喀尔喀蒙古语,mon,individual,living,,FALSE,,
,,,,,khl,,,,,lusi,,,,,,,,individual,living,,FALSE,,
,,,,,khn,,,,,khandesi,,,,jandeshi,,,,individual,living,,FALSE,,
,,,,,khp,,,,,"kapori, kapauri",,,,,,,,individual,living,,FALSE,,
,,,,,khq,,,,,koyra chiini songhay,,,,,,,,individual,living,,FALSE,,
,,,,,khr,,,,,kharia,,,,jaria,,,,individual,living,,FALSE,,
,,,,,khs,,,,,kasua,,,,,,,,individual,living,,FALSE,,
,,,,,kht,,,,,khamti,,,,,,坎梯语,,individual,living,,FALSE,,
,,,,,khu,,,,,nkhumbi,,,,,,,,individual,living,,FALSE,,
,,,,,khv,,,,,khvarshi,khvarchi,,,khvarshi,,,,individual,living,,FALSE,,
,,,,,khw,,,,,khowar,,,,,,科瓦语,,individual,living,,FALSE,,
,,,,,khx,,,,,kanu,,,,,,,,individual,living,,FALSE,,
,,,,,khy,,,,,kele (democratic republic of congo),,,келе,,,,,individual,living,,FALSE,,
,,,,,khz,,,,,keapara,,,,,,,,individual,living,,FALSE,,
,,,,,kia,,,,,kim,,,,,,,,individual,living,,FALSE,,
,,,,,kib,,,,,koalib,,,,,,,,individual,living,,FALSE,,
,,,,,kic,,,,kikapú,kickapoo,,,,kikapú,,,,individual,living,,FALSE,,
,,,,,kid,,,,,koshin,,,,,,,,individual,living,,FALSE,,
,,,,,kie,,,,,kibet,,,,,,,,individual,living,,FALSE,,
,,,,,kif,,,,,"eastern parbate kham, eastern parbate",,,,,,,,individual,living,,FALSE,,
,,,,,kig,,,,,"kimaama, kimaghima",,,,,,,,individual,living,,FALSE,,
,,,,,kih,,,,,kilmeri,,,,,,,,individual,living,,FALSE,,
,,,,,kii,,,,,kitsai,kitsai,,,,,,,individual,extinct,,FALSE,,
,,,,,kij,,,,,kilivila,,kilivila,,,,,,individual,living,,FALSE,,
,,,,,kil,,,,,kariya,,,,,,,,individual,living,,FALSE,,
,,,,,kim,,,,тоъфа,karagas,,,,tofa,,卡拉嘎斯语,,individual,living,,FALSE,,
,,,,,kio,,,,cáuijo̱:gà,kiowa,kiowa,,,kiowa,,基奧瓦语,,individual,living,,FALSE,,
,,,,,kip,,,,,sheshi kham,,,,,,,,individual,living,,FALSE,,
,,,,,kiq,,,,,"kosadle, kosare",,,,,,,,individual,living,,FALSE,,
,,,,,kis,,,,,kis,,kis,,,,,,individual,living,,FALSE,,
,,,,,kit,,,,,agob,,,,,,,,individual,living,,FALSE,,
,,,,,kiu,,,,"zazakiyê zımey, kırmancki, zonê ma","kirmanjki, norther zazaki, northern zaza",,,,,,北扎扎其语,zza,individual,living,,FALSE,,
,,,,,kiv,,,,,kimbu,,,,,,,,individual,living,,FALSE,,
,,,,,kiw,,,,,northeast kiwai,,,,,,,,individual,living,,FALSE,,
,,,,,kix,,,,,khiamniungan naga,,,,,,,,individual,living,,FALSE,,
,,,,,kiy,,,,,kirikiri,,,,,,,,individual,living,,FALSE,,
,,,,,kiz,,,,,kisi,,,,,,,,individual,living,,FALSE,,
,,,,,kja,,,,,mlap,,,,,,,,individual,living,,FALSE,,
,,,,,kjb,,,,,"q'anjob'al, kanjobal, eastern kanjobal",,,,,,,,individual,living,,FALSE,,
,,,,,kjc,,,,,coastal konjo,,,,,,,,individual,living,,FALSE,,
,,,,,kjd,,,,,southern kiwai,,,,,,,,individual,living,,FALSE,,
,,,,,kje,,,,,kisar,,kisar,,,,,,individual,living,,FALSE,,
,,,,,kjf,,,,,khalaj,,chaladschische sprache,халаджский язык,,,,,individual,living,,FALSE,,
,,,,,kjg,,,,,khmu,,,,,,克木语,,individual,living,,FALSE,,
,,,,,kjh,,,,хакасча,khakas,,chakassische sprache,хакасский,jakas,,哈卡斯语,,individual,living,,FALSE,,
,,,,,kji,,,,,zabana,,,,,,,,individual,living,,FALSE,,
,,,,,kjj,,,,,khinalugh,khinalough,,,khinalugh,,,,individual,living,,FALSE,,
,,,,,kjk,,,,,highland konjo,,,,,,,,individual,living,,FALSE,,
,,,,,kjl,,,,,"western parbate kham, western parbate",,,,,,,,individual,living,,FALSE,,
,,,,,kjm,,,,,kháng,,,,,,,,individual,living,,FALSE,,
,,,,,kjn,,,,,kunjen,,,,,,,,individual,living,,FALSE,,
,,,,,kjo,,,,,harijan kinnauri,,,,,,,,individual,living,,FALSE,,
,,,,,kjp,,,,,pwo eastern karen,,,,,,,,individual,living,,FALSE,,
,,,,,kjq,,,,,western keres,,,,,,,,individual,living,,FALSE,,
,,,,,kjr,,,,,kurudu,,,,,,,,individual,living,,FALSE,,
,,,,,kjs,,,,,east kewa,,,,,,,,individual,living,,FALSE,,
,,,,,kjt,,,,,phrae pwo karen,,,,,,,,individual,living,,FALSE,,
,,,,,kju,,,,,kashaya,,,,,,,,individual,living,,FALSE,,
,,,,,kjv,,,,kajkavski,"kaikavian literary language, kaikavian literary language (kajkavian)",kaïkavienne,kaikawisch,,,,,,individual,historical,,FALSE,,
,,,,,kjx,,,,,ramopa,,,,,,,,individual,living,,FALSE,,
,,,,,kjy,,,,,erave,,,,,,,,individual,living,,FALSE,,
,,,,,kjz,,,,,bumthangkha,bumthang,,,,,,,individual,living,,FALSE,,
,,,,,kka,,,,,kakanda,,,,,,,,individual,living,,FALSE,,
,,,,,kkb,,,,,kwerisa,,,,,,,,individual,living,,FALSE,,
,,,,,kkc,,,,,odoodee,,,,,,,,individual,living,,FALSE,,
,,,,,kkd,,,,,kinuku,,,,,,,,individual,living,,FALSE,,
,,,,,kke,,,,,kakabe,,,,,,,,individual,living,,FALSE,,
,,,,,kkf,,,,,kalaktang monpa,,,,,,噶拉塘-门巴语,,individual,living,,FALSE,,
,,,,,kkg,,,,,mabaka valley kalinga,,,,,,,,individual,living,,FALSE,,
,,,,,kkh,,,,,khün,,,,,,坤语,,individual,living,,FALSE,,
,,,,,kki,,,,,kagulu,,,,,,,,individual,living,,FALSE,,
,,,,,kkj,,,,,kako,,,,,,,,individual,living,,FALSE,,
,,,,,kkk,,,,,kokota,,,,,,,,individual,living,,FALSE,,
,,,,,kkl,,,,,kosarek yale,,,,,,,,individual,living,,FALSE,,
,,,,,kkm,,,,,kiong,,,,,,,,individual,living,,FALSE,,
,,,,,kkn,,,,,kon keu,,,,,,,,individual,living,,FALSE,,
,,,,,kko,,,,,karko,,,,,,,,individual,living,,FALSE,,
,,,,,kkp,,,,,gugubera,,,,,,,,individual,living,,FALSE,,
,,,,,kkq,,,,,kaiku,,,,,,,,individual,living,,FALSE,,
,,,,,kkr,,,,,kir-balar,,,,,,,,individual,living,,FALSE,,
,,,,,kks,,,,,giiwo,,,,,,,,individual,living,,FALSE,,
,,,,,kkt,,,,,koi,,,,,,,,individual,living,,FALSE,,
,,,,,kku,,,,,tumi,,,,,,,,individual,living,,FALSE,,
,,,,,kkv,,,,,kangean,,,,,,,,individual,living,,FALSE,,
,,,,,kkw,,,,,teke-kukuya,,,,,,,,individual,living,,FALSE,,
,,,,,kkx,,,,,kohin,,,,,,,,individual,living,,FALSE,,
,,,,,kky,,,,,guguyimidjir,,,,,,,,individual,living,,FALSE,,
,,,,,kkz,,,,dene dzage,kaska,,,,,,卡斯卡语,,individual,living,,FALSE,,
,,,,,kla,,,,,klamath-modoc,,,,klamath-modoc,,,,individual,extinct,,FALSE,,
,,,,,klb,,,,,kiliwa,,,,kiliwa,,,,individual,living,,FALSE,,
,,,,,klc,,,,,kolbila,,,,,,,,individual,living,,FALSE,,
,,,,,kld,,,,,gamilaraay,,,,,,,,individual,living,,FALSE,,
,,,,,kle,,,,,kulung (nepal),,,,,,,,individual,living,,FALSE,,
,,,,,klf,,,,,kendeje,,,,,,,,individual,living,,FALSE,,
,,,,,klg,,,,,"tagakaulo, tagakaulu kalagan",,,,,,,,individual,living,,FALSE,,
,,,,,klh,,,,,weliki,,,,,,,,individual,living,,FALSE,,
,,,,,kli,,,,,kalumpang,,,,,,,,individual,living,,FALSE,,
,,,,,klj,,,,qalayce,turkic khalaj,,,,jalaj,,哈拉吉语,,individual,living,,FALSE,,
,,,,,klk,,,,,kono (nigeria),,,,,,,,individual,living,,FALSE,,
,,,,,kll,,,,,kagan kalagan,,,,,,,,individual,living,,FALSE,,
,,,,,klm,,,,,"migum, kolom",,,,,,,,individual,living,,FALSE,,
,,,,,kln,,,,,kalenjin,,,,,,卡伦津语,,macro,living,,FALSE,,
,,,,,klo,,,,,kapya,,,,,,,,individual,living,,FALSE,,
,,,,,klp,,,,,kamasa,,,,,,,,individual,living,,FALSE,,
,,,,,klq,,,,,rumu,,,,,,,,individual,living,,FALSE,,
,,,,,klr,,,,,khaling,,,,,,,,individual,living,,FALSE,,
,,,,,kls,,,,,kalasha,,,,,,,,individual,living,,FALSE,,
,,,,,klt,,,,,nukna,,,,,,,,individual,living,,FALSE,,
,,,,,klu,,,,,klao,,,,,,,,individual,living,,FALSE,,
,,,,,klv,,,,,maskelynes,,,,,,,,individual,living,,FALSE,,
,,,,,klw,,,,,lindu,,,,,,,,individual,living,,FALSE,,
,,,,,klx,,,,,koluwawa,,,,,,,,individual,living,,FALSE,,
,,,,,kly,,,,,kalao,,,,,,,,individual,living,,FALSE,,
,,,,,klz,,,,,kabola,,,,,,,,individual,living,,FALSE,,
,,,,,kma,,,,,konni,,,,,,,,individual,living,,FALSE,,
,,,,,kmc,,,,,southern dong,,,,,,南侗语,,individual,living,,FALSE,,
,,,,,kmd,,,,,"majukayang kalinga, madukayang kalinga",,,,,,,,individual,living,,FALSE,,
,,,,,kme,,,,,bakole,,,,,,,,individual,living,,FALSE,,
,,,,,kmf,,,,,kare (papua new guinea),,,,,,,,individual,living,,FALSE,,
,,,,,kmg,,,,,kâte,,,,,,,,individual,living,,FALSE,,
,,,,,kmh,,,,,kalam,,,,,,,,individual,living,,FALSE,,
,,,,,kmi,,,,,kami (nigeria),,,,,,,,individual,living,,FALSE,,
,,,,,kmj,,,,,kumarbhag paharia,,,,,,,,individual,living,,FALSE,,
,,,,,kmk,,,,,limos kalinga,,,,,,,,individual,living,,FALSE,,
,,,,,kml,,,,,"tanudan kalinga, lower tanudan kalinga",,,,,,,,individual,living,,FALSE,,
,,,,,kmm,,,,,kom (india),,,,,,,,individual,living,,FALSE,,
,,,,,kmn,,,,,awtuw,,,,,,,,individual,living,,FALSE,,
,,,,,kmo,,,,,kwoma,,,,,,,,individual,living,,FALSE,,
,,,,,kmp,,,,,gimme,,,,,,,,individual,living,,FALSE,,
,,,,,kmq,,,,,kwama,,,,,,,,individual,living,,FALSE,,
,,,,,kmr,,,,,northern kurdish,,,,,,北库尔德语,kur,individual,living,,FALSE,,
,,,,,kms,,,,,kamasau,,,,,,,,individual,living,,FALSE,,
,,,,,kmt,,,,,kemtuik,,,,,,,,individual,living,,FALSE,,
,,,,,kmu,,,,,kanite,,,,,,,,individual,living,,FALSE,,
,,,,,kmv,,,,,karipúna creole french,,,,,,,,individual,living,,FALSE,,
,,,,,kmw,,,,,komo (democratic republic of congo),,,,,,,,individual,living,,FALSE,,
,,,,,kmx,,,,,waboda,,,,,,,,individual,living,,FALSE,,
,,,,,kmy,,,,,koma,,,,,,,,individual,living,,FALSE,,
,,,,,kmz,,,,,khorasani turkish,,chorasan-türkische sprache,хорасанско-тюркский язык,idioma turco de jorasán,,呼罗珊土耳其语,,individual,living,,FALSE,,
,,,,,kna,,,,,dera (nigeria),,,,,,,,individual,living,,FALSE,,
,,,,,knb,,,,,lubuagan kalinga,,,,,,,,individual,living,,FALSE,,
,,,,,knc,,,,,central kanuri,,,,,,,kau,individual,living,,FALSE,,
,,,,,knd,,,,,konda,,,,konda,,,,individual,living,,FALSE,,
,,,,,kne,,,,,kankanaey,,,,,,,,individual,living,,FALSE,,
,,,,,knf,,,,,mankanya,mancagne (langue),,,,,,,individual,living,,FALSE,,
,,,,,kng,,,,,koongo,,,,,,,kon,individual,living,,FALSE,,
,,,,,kni,,,,,kanufi,,,,,,,,individual,living,,FALSE,,
,,,,,knj,,,,,western kanjobal,,,,,,,,individual,living,,FALSE,,
,,,,,knk,,,,,kuranko,,,,,,库兰科语,,individual,living,,FALSE,,
,,,,,knl,,,,,keninjal,,,,,,,,individual,living,,FALSE,,
,,,,,knm,,,,,kanamarí,,,,,,,,individual,living,,FALSE,,
,,,,,knn,,,,ಕೊಂಕಣಿ,"konkani (individual language), konkani (specific)",,,,,,孔卡尼语,kok,individual,living,,FALSE,,
,,,,,kno,,,,,kono (sierra leone),,,,,,,,individual,living,,FALSE,,
,,,,,knp,,,,,kwanja,,,,,,,,individual,living,,FALSE,,
,,,,,knq,,,,,kintaq,,,,,,,,individual,living,,FALSE,,
,,,,,knr,,,,,kaningra,,,,,,,,individual,living,,FALSE,,
,,,,,kns,,,,,kensiu,,,,,,,,individual,living,,FALSE,,
,,,,,knt,,,,,panoan katukína,,,,katukína,,,,individual,living,,FALSE,,
,,,,,knu,,,,,kono (guinea),,,,,,,,individual,living,,FALSE,,
,,,,,knv,,,,,tabo,,,,,,,,individual,living,,FALSE,,
,,,,,knw,,,,,kung-ekoka,,,,,,,,individual,living,,FALSE,,
,,,,,knx,,,,,"kendayan, salako",,,,,,,,individual,living,,FALSE,,
,,,,,kny,,,,,kanyok,,,каньок,,,,,individual,living,,FALSE,,
,,,,,knz,,,,,kalamsé,,,,,,,,individual,living,,FALSE,,
,,,,,koa,,,,,konomala,,,,,,,,individual,living,,FALSE,,
,,,,,koc,,,,,kpati,,,,,,,,individual,extinct,,FALSE,,
,,,,,kod,,,,,kodi,,kodi,,,,,,individual,living,,FALSE,,
,,,,,koe,,,,,kacipo-balesi,,,,,,,,individual,living,,FALSE,,
,,,,,kof,,,,,kubi,,,,,,,,individual,extinct,,FALSE,,
,,,,,kog,,,,,"cogui, kogi",,,,cogui,,,,individual,living,,FALSE,,
,,,,,koh,,,,,koyo,,,,,,,,individual,living,,FALSE,,
,,,,,koi,,koi,,"перым-коми, перем коми, perem komi",komi-permyak,,komipermjakisch,коми-пермяцкий,,,科米-彼尔米亚克语,kom,individual,living,,FALSE,,
,,,,,koj,,,,,sara dunjo,,,,,,,,individual,living,,FALSE,,
,,,,,kol,,,,,kol (papua new guinea),,,,,,,,individual,living,,FALSE,,
,,,,,koo,,,,,"konzo, konjo",,,,,,,,individual,living,,FALSE,,
,,,,,kop,,,,,"waube, kwato",,,,,,,,individual,living,,FALSE,,
,,,,,koq,,,,,kota (gabon),,,,,,,,individual,living,,FALSE,,
,,,,,kot,,,,,lagwan,,,,,,,,individual,living,,FALSE,,
,,,,,kou,,,,,koke,,,,,,,,individual,living,,FALSE,,
,,,,,kov,,,,,kudu-camo,,,,,,,,individual,living,,FALSE,,
,,,,,kow,,,,,kugama,,,,,,,,individual,living,,FALSE,,
,,,,,kox,,,,,coxima,,,,,,,,individual,extinct,,FALSE,,
,,,,,koy,,,,,koyukon,,,,,,,,individual,living,,FALSE,,
,,,,,koz,,,,,korak,,,,,,,,individual,living,,FALSE,,
,,,,,kpa,,,,,kutto,,,,,,,,individual,living,,FALSE,,
,,,,,kpb,,,,,mullu kurumba,,,,,,,,individual,living,,FALSE,,
,,,,,kpc,,,,,curripaco,,,,,,,,individual,living,,FALSE,,
,,,,,kpd,,,,,koba,,,,,,,,individual,living,,FALSE,,
,,,,,kpf,,,,,komba,,,,,,,,individual,living,,FALSE,,
,,,,,kpg,,,,,kapingamarangi,,kapingamarangi,,,,,,individual,living,,FALSE,,
,,,,,kph,,,,,kplang,,,,,,,,individual,living,,FALSE,,
,,,,,kpi,,,,,kofei,,,,,,,,individual,living,,FALSE,,
,,,,,kpj,,,,,karajá,,,,karajá,,,,individual,living,,FALSE,,
,,,,,kpk,,,,,kpan,,,,,,,,individual,living,,FALSE,,
,,,,,kpl,,,,,kpala,,,,,,,,individual,living,,FALSE,,
,,,,,kpm,,,,,koho,,,,,,,,individual,living,,FALSE,,
,,,,,kpn,,,,,kepkiriwát,,,,kepkiriwát,,,,individual,extinct,,FALSE,,
,,,,,kpo,,,,akpɔssɔ,ikposo,,,,,,,,individual,living,,FALSE,,
,,,,,kpp,,,,,paku karen,,,,,,,,individual,living,,TRUE,,
,,,,,kpq,,,,,korupun-sela,,,,,,,,individual,living,,FALSE,,
,,,,,kpr,,,,,"korafe-yegha, korafe",,,,,,,,individual,living,,FALSE,,
,,,,,kps,,,,,tehit,,,,,,,,individual,living,,FALSE,,
,,,,,kpt,,,,,karata,karata,,,karata,,卡拉塔语,,individual,living,,FALSE,,
,,,,,kpu,,,,,kafoa,,,,,,,,individual,living,,FALSE,,
,,,,,kpv,,,,,komi-zyrian,,,коми-зырянский,ciriano,,"科米语, 科米-兹梁语",kom,individual,living,,FALSE,,
,,,,,kpw,,,,,kobon,,,,,,,,individual,living,,FALSE,,
,,,,,kpx,,,,,mountain koiali,,,,,,,,individual,living,,FALSE,,
,,,,,kpy,,,,нымылан,koryak,koriak,korjakische sprache,корякский,,,科里亚克语,,individual,living,,FALSE,,
,,,,,kpz,,,,,kupsabiny,,,,,,,,individual,living,,FALSE,,
,,,,,kqa,,,,,mum,,,,,,,,individual,living,,FALSE,,
,,,,,kqb,,,,,kovai,,,,,,,,individual,living,,FALSE,,
,,,,,kqc,,,,,"doromu-koki, doromu",,,,,,,,individual,living,,FALSE,,
,,,,,kqd,,,,,koy sanjaq surat,,,,,,,,individual,living,,FALSE,,
,,,,,kqe,,,,,kalagan,,,,,,,,individual,living,,FALSE,,
,,,,,kqf,,,,,kakabai,,,,,,,,individual,living,,FALSE,,
,,,,,kqg,,,,,khe,,,,,,,,individual,living,,FALSE,,
,,,,,kqh,,,,,kisankasa,,,,,,,,individual,living,,FALSE,,
,,,,,kqi,,,,,koitabu,,,,,,,,individual,living,,FALSE,,
,,,,,kqj,,,,,koromira,,,,,,,,individual,living,,FALSE,,
,,,,,kqk,,,,,kotafon gbe,,,,,,,,individual,living,,FALSE,,
,,,,,kql,,,,,kyenele,,,,,,,,individual,living,,FALSE,,
,,,,,kqm,,,,,khisa,,,,,,,,individual,living,,FALSE,,
,,,,,kqn,,,,,kaonde,,,каонде,,,,,individual,living,,FALSE,,
,,,,,kqo,,,,,eastern krahn,,,,,,,,individual,living,,FALSE,,
,,,,,kqp,,,,,kimré,,,,,,,,individual,living,,FALSE,,
,,,,,kqq,,,,,krenak,,,,,,,,individual,living,,FALSE,,
,,,,,kqr,,,,,kimaragang,,,,,,,,individual,living,,FALSE,,
,,,,,kqs,,,,,northern kissi,,,,,,,,individual,living,,FALSE,,
,,,,,kqt,,,,,klias river kadazan,,,,,,,,individual,living,,FALSE,,
,,,,,kqu,,,,,seroa,,,,,,,,individual,extinct,,FALSE,,
,,,,,kqv,,,,,okolod,,,,,,,,individual,living,,FALSE,,
,,,,,kqw,,,,,kandas,,,,,,,,individual,living,,FALSE,,
,,,,,kqx,,,,,mser,,,,,,,,individual,living,,FALSE,,
,,,,,kqy,,,,,koorete,,,,,,,,individual,living,,FALSE,,
,,,,,kqz,,,,,korana,,,,,,,,individual,extinct,,FALSE,,
,,,,,kra,,,,,kumhali,,,,,,,,individual,living,,FALSE,,
,,,,,krb,,,,,karkin,,,,,,,,individual,extinct,,FALSE,,
,,,,,krd,,,,,kairui-midiki,,,,,,,,individual,living,,FALSE,,
,,,,,kre,,,,,"panará, kreen-akarore",,,,,,,,individual,living,,FALSE,,
,,,,,krf,,,,,koro (vanuatu),,,,,,,,individual,living,,FALSE,,
,,,,,krh,,,,,kurama,,,,,,,,individual,living,,FALSE,,
,,,,,kri,,,,,krio,keriu,krio,,,,塞拉利昂克里奥尔语,,individual,living,,FALSE,,
,,,,,krj,,,,,kinaray-a,,,,,,,,individual,living,,FALSE,,
,,,,,krk,,,,,kerek,kerek,,керекский язык,,,,,individual,extinct,,FALSE,,
,,,,,krm,,,,,krim,,,,,,,,individual,living,,FALSE,,
,,,,,krn,,,,,sapo,,,,,,,,individual,living,,FALSE,,
,,,,,krp,,,,,korop,,,,,,,,individual,living,,FALSE,,
,,,,,krr,,,,,kru'ng 2,,,,,,,,individual,living,,FALSE,,
,,,,,krs,,,,,gbaya (sudan),,,,,,,,individual,living,,FALSE,,
,,,,,krt,,,,,tumari kanuri,,,,,,,kau,individual,living,,FALSE,,
,,,,,krv,,,,,"kavet, kravet",,,,,,,,individual,living,,FALSE,,
,,,,,krw,,,,,western krahn,,,,,,,,individual,living,,FALSE,,
,,,,,krx,,,,,karon,karone (langue),,,,,,,individual,living,,FALSE,,
,,,,,kry,,,,,kryts,,,,kryts,,,,individual,living,,FALSE,,
,,,,,krz,,,,,sota kanum,,,,,,,,individual,living,,FALSE,,
,,,,,ksa,,,,,shuwa-zamani,,,,,,,,individual,living,,FALSE,,
,,,,,ksb,,,,,shambala,,,шамбала,,,,,individual,living,,FALSE,,
,,,,,ksc,,,,,southern kalinga,,,,,,,,individual,living,,FALSE,,
,,,,,ksd,,,,,kuanua,,,,,,托莱语,,individual,living,,FALSE,,
,,,,,kse,,,,,kuni,,,,,,,,individual,living,,FALSE,,
,,,,,ksf,,,,,bafia,,,бафиа,,,,,individual,living,,FALSE,,
,,,,,ksg,,,,,kusaghe,,,кусайе,,,,,individual,living,,FALSE,,
,,,,,ksh,,ksh,,"kölsch, ripoarisch","kölsch, ripuarian, colognian",kölsch,kölsch,,,,库尔施语,,individual,living,,FALSE,,
,,,,,ksi,,,,,"krisa, i'saka",,,,,,,,individual,living,,FALSE,,
,,,,,ksj,,,,,uare,,,,,,,,individual,living,,FALSE,,
,,,,,ksk,,,,kaáⁿze,kansa,,,,kansa,,,,individual,living,,FALSE,,
,,,,,ksl,,,,,kumalu,,,,,,,,individual,living,,FALSE,,
,,,,,ksm,,,,,kumba,,,,,,,,individual,living,,FALSE,,
,,,,,ksn,,,,,kasiguranin,,,,,,,,individual,living,,FALSE,,
,,,,,kso,,,,,kofa,,,,,,,,individual,living,,FALSE,,
,,,,,ksp,,,,,kaba,,,,,,,,individual,living,,FALSE,,
,,,,,ksq,,,,,kwaami,,,,,,,,individual,living,,FALSE,,
,,,,,ksr,,,,,borong,,,,,,,,individual,living,,FALSE,,
,,,,,kss,,,,,southern kisi,,,,,,,,individual,living,,FALSE,,
,,,,,kst,,,,,winyé,,,,,,,,individual,living,,FALSE,,
,,,,,ksu,,,,,khamyang,,,,,,坎佯语,,individual,living,,FALSE,,
,,,,,ksv,,,,,kusu,,,,,,,,individual,living,,FALSE,,
,,,,,ksw,,,,,s'gaw karen,,,,,,,,individual,living,,FALSE,,
,,,,,ksx,,,,,kedang,,kedang,,,,,,individual,living,,FALSE,,
,,,,,ksy,,,,,kharia thar,,,,,,,,individual,living,,FALSE,,
,,,,,ksz,,,,,"kodaku, koraku",,,,,,,,individual,living,,FALSE,,
,,,,,kta,,,,,katua,,,,,,,,individual,living,,FALSE,,
,,,,,ktb,,,,,kambaata,,,,,,,,individual,living,,FALSE,,
